,P-11,m-10,P-8,m-7,M-6,m-6,P-5,A-4,d-5,P-4,M-3,m-3,M-2,m-2,P1,m2,M2,m3,A2,M3,P4,P5,m6,M6,m7,P8,M9,m10
199,0,0,0,0,0,1,0,0,0,2,0,3,7,0,6,0,5,4,0,0,0,0,1,0,0,0,0,0
200,0,0,0,0,0,0,1,0,0,1,1,4,10,3,6,2,7,4,0,2,0,0,1,0,0,0,0,0
201,0,0,0,0,0,1,0,0,0,0,0,3,6,1,4,0,4,4,0,0,0,0,1,0,0,0,0,0
202,0,0,0,0,0,0,0,0,0,3,0,3,10,2,7,1,9,4,0,0,2,0,0,0,0,0,0,0
203,0,0,0,0,0,0,0,0,0,1,0,1,7,3,1,2,5,2,0,0,0,0,0,0,0,0,0,0
204,0,0,0,0,0,0,0,0,0,2,2,2,12,4,4,3,12,4,0,1,2,0,0,0,0,0,0,0
205,0,0,0,0,0,1,0,0,0,1,0,1,5,2,2,1,4,4,0,0,0,0,0,0,0,0,0,0
402,0,0,0,0,0,0,0,0,0,0,5,1,14,5,5,2,13,3,0,2,2,0,0,0,0,0,0,0
403,0,0,0,0,0,1,0,0,0,1,1,3,10,1,1,0,8,5,0,0,0,0,0,0,1,0,0,0
404,0,0,0,0,0,0,0,0,0,4,2,5,14,3,3,2,13,8,0,1,0,1,0,0,1,0,0,0
405,0,0,0,0,0,0,0,0,0,3,0,6,6,0,0,0,8,8,0,1,1,0,0,0,0,0,0,0
406,0,0,0,0,0,0,0,0,0,0,0,4,4,0,2,0,2,2,0,0,2,0,0,0,0,0,0,0
459,0,0,0,0,0,0,0,0,0,6,0,6,12,2,4,0,11,10,0,0,1,0,0,0,0,1,0,0
460,0,0,0,0,0,0,0,0,0,4,1,5,10,1,4,1,7,5,0,2,2,0,0,0,1,0,0,0
461,0,0,0,1,0,0,0,0,0,1,0,3,2,0,2,0,3,4,0,0,0,0,2,0,0,0,0,0
462,0,0,0,0,0,0,0,0,0,6,0,2,5,0,2,0,6,7,0,1,0,0,0,0,0,1,0,0
463,0,0,0,0,0,0,0,0,0,3,0,3,2,0,3,0,2,4,0,0,0,0,0,0,2,0,0,0
464,0,0,0,0,0,0,0,0,0,6,1,4,9,2,5,2,12,8,0,1,1,0,1,0,0,0,0,0
465,0,0,0,0,0,1,1,0,0,0,0,2,2,0,2,0,2,2,0,0,1,0,0,0,0,0,0,0
466,0,0,0,0,0,0,0,0,0,1,0,1,4,3,4,4,5,2,0,1,0,0,0,0,0,0,0,0
467,0,0,0,1,0,0,0,0,0,1,0,2,1,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0
468,0,0,0,0,0,0,1,0,0,0,0,8,9,0,2,0,6,5,0,0,3,0,0,0,1,0,0,0
892,0,0,0,0,0,0,0,0,0,1,0,4,5,0,1,0,0,2,0,1,1,1,0,0,0,0,0,0
