,P-11,m-10,P-8,m-7,M-6,m-6,P-5,A-4,d-5,P-4,M-3,m-3,M-2,m-2,P1,m2,M2,m3,A2,M3,P4,P5,m6,M6,m7,P8,M9,m10
80,0,0,0,0,0,1,0,0,0,1,0,1,4,0,1,0,5,3,0,0,3,0,0,0,0,0,0,0
81,0,0,0,0,0,0,1,0,0,1,0,3,5,0,2,0,5,2,0,0,1,1,0,0,0,0,0,0
82,0,0,0,0,0,2,0,0,0,1,0,1,3,0,2,0,2,4,0,0,2,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0,1,2,6,1,3,0,4,1,0,1,2,0,0,0,0,0,0,0
84,0,0,0,0,0,1,0,0,0,1,0,2,4,0,3,0,3,5,0,0,0,1,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0,2,2,4,10,0,2,0,15,6,0,0,1,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,2,0,1,9,0,0,0,11,3,0,0,2,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,5,0,4,7,0,3,0,9,8,0,0,2,1,0,0,0,0,0,0
91,0,0,0,0,0,0,0,0,0,1,1,4,6,0,4,0,5,1,0,0,4,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0,0,1,0,4,7,0,4,0,4,3,0,1,3,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,1,1,3,6,0,2,1,8,3,0,0,1,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,2,0,3,6,0,4,0,6,3,0,0,2,0,0,0,0,0,0,0
95,0,0,0,0,1,0,1,0,0,2,2,9,16,1,8,1,13,5,0,0,2,3,0,0,1,0,0,0
96,0,0,0,0,0,0,0,0,0,2,0,5,12,0,5,0,8,4,0,0,2,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,1,0,5,11,0,4,0,7,5,0,1,1,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,5,1,2,3,0,4,0,9,9,0,0,1,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,1,0,0,0,4,10,1,2,0,4,2,0,0,2,1,0,0,0,0,0,0
101,0,0,0,0,0,0,0,0,0,1,0,2,6,0,1,0,6,5,0,0,3,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,1,0,6,14,1,8,1,12,6,0,0,1,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0,0,5,0,7,17,1,10,1,14,8,0,0,4,1,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,2,2,8,11,1,8,0,9,10,0,1,0,1,0,0,0,0,0,0
106,0,0,0,0,0,1,0,0,0,4,0,2,4,1,2,0,12,11,0,0,0,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0,0,0,3,0,2,7,0,3,0,6,1,0,1,1,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0,0,2,0,4,4,0,3,0,4,4,0,1,1,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,1,0,2,8,0,1,0,6,2,0,1,1,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,1,0,4,4,0,4,0,4,3,0,0,2,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0,0,0,1,0,2,8,0,1,0,7,3,0,1,0,0,0,0,0,0,0,0
112,0,0,0,0,1,0,0,0,0,1,0,4,4,0,4,0,4,4,0,1,1,0,0,0,0,0,0,0
113,0,0,0,0,0,0,1,0,0,2,0,3,6,0,3,0,5,1,0,0,1,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0,1,1,4,3,0,3,0,7,3,0,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0,1,1,8,14,0,8,0,13,5,0,1,4,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0,2,1,4,2,0,2,0,8,5,0,0,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0,0,1,0,3,8,0,2,0,6,3,0,1,1,0,0,0,0,0,0,0
118,0,0,0,0,0,1,0,0,0,1,0,4,4,0,2,0,4,4,0,0,1,0,0,0,0,0,0,0
