,P-11,m-10,P-8,m-7,M-6,m-6,P-5,A-4,d-5,P-4,M-3,m-3,M-2,m-2,P1,m2,M2,m3,A2,M3,P4,P5,m6,M6,m7,P8,M9,m10
206,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0
207,0,0,0,0,0,1,0,0,0,1,0,0,2,0,3,0,5,3,0,0,0,0,0,0,0,0,0,0
208,0,0,0,0,0,0,0,0,0,0,2,0,3,1,2,0,4,1,0,1,1,0,0,0,0,0,0,0
209,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
210,0,0,0,0,0,0,0,0,0,0,0,5,3,0,2,0,1,3,0,0,2,0,0,0,0,0,0,0
211,0,0,0,0,0,1,0,0,0,0,1,1,2,0,3,0,2,1,0,0,1,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0,0,0,1,0,3,4,0,3,0,3,2,0,0,1,0,1,0,0,0,0,0
213,0,0,0,0,0,1,0,0,0,0,0,3,3,0,1,0,1,1,0,0,3,0,0,0,0,0,0,0
214,0,0,0,0,0,0,1,0,0,1,1,1,3,1,0,0,5,3,0,0,0,0,0,0,0,0,0,0
215,0,0,0,0,0,1,0,0,0,0,0,3,3,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0
216,0,0,0,0,0,0,0,0,0,1,0,4,2,0,1,0,2,1,0,0,1,0,1,0,0,0,0,0
217,0,0,0,0,0,0,0,0,0,0,1,3,4,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0
218,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
219,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0
220,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,2,3,1,0,1,0,0,0,0,0,0,0,0
221,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
223,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
224,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
225,0,0,0,0,0,0,1,0,0,2,1,4,8,1,5,0,8,6,0,1,1,0,0,0,0,0,0,0
226,0,0,0,0,0,0,1,0,0,0,0,1,1,1,4,0,2,4,0,0,0,0,0,0,0,0,0,0
227,0,0,0,0,0,1,0,0,0,0,0,2,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0
228,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0
229,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0
230,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
231,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0
232,0,0,0,0,0,0,0,0,0,1,0,5,2,0,1,0,1,2,0,0,2,0,0,0,0,0,0,0
249,0,0,0,0,0,1,0,0,0,0,0,2,3,0,2,0,1,1,0,0,1,0,1,0,0,0,0,0
250,0,0,0,0,0,0,0,0,0,1,0,4,2,0,1,0,2,2,0,0,0,0,2,0,0,0,0,0
251,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0
252,0,0,0,0,0,1,0,0,0,1,1,3,7,4,4,4,8,6,0,1,0,0,1,0,0,0,0,0
253,0,0,0,0,0,1,0,0,0,0,0,2,2,0,3,0,1,2,0,0,1,0,0,0,0,0,0,0
254,0,0,0,0,0,0,0,0,0,1,0,5,2,0,1,0,0,2,0,0,2,0,1,0,0,0,0,0
255,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0
256,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0
257,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0
258,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
259,0,0,0,0,0,1,0,0,0,0,0,2,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
260,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
261,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0
262,0,0,0,0,0,0,0,0,0,3,0,1,2,0,3,0,3,4,0,0,0,0,0,0,0,0,0,0
275,0,0,0,0,0,1,0,0,0,0,0,1,4,0,3,0,2,1,0,0,1,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0,0,0,1,0,4,3,0,2,0,2,3,0,0,1,0,0,0,0,0,0,0
277,0,0,0,0,0,1,0,0,0,0,0,3,3,0,1,0,1,1,0,0,3,0,0,0,0,0,0,0
278,0,0,0,0,0,0,1,0,0,1,0,1,4,1,3,0,4,3,0,0,0,0,0,0,0,0,0,0
279,0,0,0,0,0,1,0,0,0,0,0,2,3,0,4,0,0,1,0,0,3,0,0,0,0,0,0,0
280,0,0,0,0,0,0,0,0,0,1,0,6,2,0,3,0,3,2,0,0,0,0,1,0,0,0,0,0
281,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0
282,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
283,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
284,0,0,0,0,0,0,0,0,0,1,0,6,4,0,4,0,3,6,0,0,1,0,0,0,0,0,0,0
285,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
286,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0
287,0,0,0,0,0,0,0,0,0,0,0,2,3,0,3,0,1,2,0,0,1,0,0,0,0,0,0,0
288,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,0,3,1,0,0,1,0,0,0,0,0,0,0
289,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
290,0,0,0,0,0,0,0,0,0,0,1,2,3,1,2,0,3,2,0,0,0,0,0,0,0,0,0,0
291,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0
292,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
293,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
294,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,3,1,0,1,0,0,0,0,0,0,0,0
295,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
296,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
297,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0
298,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,1,0,0,1,1,4,7,1,5,0,6,4,0,1,2,0,0,0,0,0,0,0
300,0,0,0,0,0,0,1,0,0,0,0,1,1,1,3,0,2,3,0,0,0,0,0,0,0,0,0,0
301,0,0,0,0,0,1,0,0,0,0,0,2,1,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0
303,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0
304,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
305,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0
306,0,0,0,0,0,0,0,0,0,1,0,5,2,0,4,0,1,3,0,0,1,0,1,0,0,0,0,0
307,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,1,2,0,0,2,0,0,0,0,0,0,0
308,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0
309,0,0,0,0,0,3,0,0,0,1,0,2,4,0,3,0,3,2,0,0,3,0,1,0,0,0,0,0
310,0,0,0,0,0,0,0,0,0,2,1,2,6,0,3,0,8,3,0,0,2,0,0,0,0,0,0,0
311,0,0,0,0,0,0,0,0,0,0,0,2,4,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0
312,0,0,0,0,0,0,0,0,0,1,0,2,2,1,3,1,2,3,0,0,1,0,0,0,0,0,0,0
313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,0,0,0,0,0,0,0,0,0,0
314,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
315,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,2,1,2,0,1,0,0,0,0,0,0,0,0
316,0,0,0,0,0,1,0,0,0,1,0,2,3,0,0,0,3,3,0,0,1,0,1,0,0,0,0,0
317,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0
318,0,0,0,0,0,0,0,0,0,1,0,1,3,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
319,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,3,2,0,0,1,0,0,0,0,0,0,0
320,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0
321,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0
322,0,0,0,0,0,0,0,0,0,2,0,6,8,1,2,1,5,4,0,0,1,0,1,0,0,0,0,0
323,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
324,0,0,0,0,0,0,0,0,0,0,0,4,8,0,1,0,6,4,0,0,0,0,0,0,0,0,0,0
325,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,1,0,0,2,0,0,0,0,0,0,0
326,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,0,2,3,0,0,1,0,0,0,0,0,0,0
327,0,0,0,0,0,3,0,0,0,0,0,0,1,0,2,0,2,2,0,0,1,0,0,0,0,0,0,0
328,0,0,0,1,0,1,0,0,0,0,0,2,3,0,0,0,4,3,0,0,0,0,1,0,0,0,0,0
329,0,0,0,0,0,1,0,0,0,0,0,1,2,0,4,0,1,1,0,0,2,0,1,0,0,0,0,0
330,0,0,0,0,0,0,1,0,0,0,0,2,2,1,2,0,1,2,0,0,1,0,1,0,0,0,0,0
331,0,0,0,0,0,0,0,0,0,4,1,3,5,0,8,0,7,8,0,2,0,0,0,0,0,0,0,0
333,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,3,4,0,0,1,0,0,0,0,0,0,0
334,0,0,0,0,0,1,0,0,0,2,0,1,1,0,1,0,2,2,0,0,0,0,1,0,0,0,0,0
335,0,0,0,0,0,0,0,0,0,1,0,2,5,0,0,0,2,1,0,1,2,0,0,0,0,0,0,0
336,0,0,0,0,0,0,1,0,0,0,1,0,1,4,1,3,1,2,0,1,0,0,0,0,0,0,0,0
337,0,0,0,0,0,0,0,0,0,1,0,2,3,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0
338,0,0,0,0,0,1,0,0,0,0,1,3,4,1,2,0,3,5,0,1,0,0,0,0,0,0,0,0
373,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0
374,0,0,0,0,0,0,0,0,0,1,0,3,2,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0
375,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0
376,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
377,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
378,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,2,1,0,0,1,0,0,0,0,0,0,0
379,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
380,0,0,0,0,0,0,0,0,0,0,0,5,8,1,2,1,5,3,0,1,0,0,1,0,0,0,0,0
381,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0
382,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0
383,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,0,1,2,0,0,1,0,0,0,0,0,0,0
384,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
385,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
386,0,0,0,0,0,0,0,0,0,1,0,3,2,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0
407,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0,0,0,2,0,1,1,0,4,0,2,1,0,0,0,0,1,0,0,0,0,0
409,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,1,2,0,0,2,0,0,0,0,0,0,0
410,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,0,2,1,0,0,0,0,1,0,0,0,0,0
411,0,0,0,0,0,1,0,0,0,0,0,3,1,0,1,0,1,3,0,0,1,0,0,0,0,0,0,0
412,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,0,2,1,0,0,0,0,1,0,0,0,0,0
413,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0
414,0,0,0,0,0,1,0,0,0,2,0,2,3,0,2,0,3,3,0,0,2,0,0,0,0,0,0,0
415,0,0,0,0,0,1,0,0,0,0,0,1,3,0,4,0,1,1,0,0,1,0,1,0,0,0,0,0
416,0,0,0,0,0,1,0,0,0,1,0,2,3,0,1,0,2,1,0,0,1,0,1,0,0,0,0,0
417,0,0,0,0,0,0,0,0,0,0,0,4,2,0,3,0,1,2,0,0,1,0,1,0,0,0,0,0
418,0,0,0,0,0,0,1,0,0,1,0,0,3,1,1,0,3,2,0,0,1,0,0,0,0,0,0,0
419,0,0,0,0,0,1,0,0,0,1,0,2,3,0,2,0,3,2,0,0,2,0,0,0,0,0,0,0
420,0,0,0,0,0,0,1,0,0,1,0,0,3,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0
421,0,0,0,0,0,1,0,0,0,0,0,1,3,0,1,0,2,1,0,0,2,0,0,0,0,0,0,0
