,P-11,m-10,P-8,m-7,M-6,m-6,P-5,A-4,d-5,P-4,M-3,m-3,M-2,m-2,P1,m2,M2,m3,A2,M3,P4,P5,m6,M6,m7,P8,M9,m10
475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
665,0,0,0,0,0,0,0,0,0,4,2,7,19,4,5,3,21,10,0,1,1,1,0,0,0,0,0,0
666,0,0,0,0,0,0,0,0,0,0,1,2,12,1,3,0,7,1,0,0,1,1,0,0,0,0,0,0
667,0,0,0,0,0,0,1,0,0,2,2,2,4,0,3,0,7,7,0,1,0,0,0,0,0,0,0,0
668,0,0,0,0,0,0,0,0,0,2,0,1,8,0,0,1,8,2,0,1,0,0,0,0,0,0,0,0
669,0,0,0,0,0,0,0,0,0,1,1,4,6,0,0,0,4,3,0,2,1,0,0,0,1,0,0,0
670,0,0,0,0,0,0,0,0,0,0,0,2,6,0,1,0,7,4,0,0,1,1,0,0,0,0,0,0
671,0,0,0,0,0,0,0,0,0,1,1,1,7,1,0,1,6,2,0,1,2,1,0,0,0,0,0,0
672,0,0,1,0,0,0,0,0,0,2,0,1,5,0,1,1,11,4,0,0,2,0,0,0,0,0,0,0
673,0,0,0,0,0,1,0,0,0,2,0,4,6,0,0,0,2,3,0,1,2,0,0,0,0,0,0,0
674,0,0,0,0,0,0,1,0,0,0,1,1,6,0,0,1,8,1,0,1,2,0,0,0,0,0,0,0
675,0,0,0,0,0,1,0,0,0,3,1,4,2,0,1,0,3,3,0,0,2,0,0,0,1,0,0,0
676,0,0,0,0,0,0,1,0,0,1,3,7,9,1,5,0,12,8,0,1,1,1,0,0,0,0,0,0
809,0,0,0,0,1,0,1,0,0,2,2,9,8,0,4,0,8,7,0,0,1,3,0,0,0,0,0,0
810,0,0,0,0,0,1,0,0,0,2,1,8,8,0,6,0,2,7,0,3,1,0,1,0,1,0,0,0
811,0,0,0,0,0,0,0,0,0,1,0,7,10,1,3,0,3,4,0,0,0,2,1,0,0,0,0,0
812,0,0,0,0,0,0,0,0,0,1,0,9,10,1,2,0,4,8,0,1,2,0,0,0,0,0,0,0
813,0,0,0,0,0,1,1,0,0,0,2,16,22,1,2,0,16,12,0,2,5,2,0,0,0,0,0,0
814,0,0,0,0,0,1,0,0,0,1,1,7,8,0,1,0,2,6,0,1,2,1,1,0,0,0,0,0
815,0,0,0,0,1,0,0,0,0,2,0,13,14,3,2,1,11,14,0,1,2,0,0,0,0,0,0,0
816,0,0,0,0,0,1,0,0,0,1,0,5,9,0,6,0,3,8,0,2,1,2,1,0,0,0,0,0
837,0,0,0,0,0,0,0,0,0,0,1,10,16,0,3,0,14,5,0,0,4,0,0,0,0,0,0,0
838,0,0,0,0,0,0,0,0,0,2,0,3,6,0,0,0,3,4,0,0,3,0,0,0,0,0,0,0
839,0,0,0,0,0,1,0,0,0,3,1,10,16,1,3,0,11,10,0,0,2,2,0,0,1,0,0,0
840,0,0,0,0,0,0,0,0,0,2,0,3,5,0,3,0,1,6,0,2,0,0,0,1,0,0,0,0
841,0,0,0,0,0,0,2,0,0,1,0,5,11,1,3,0,10,8,0,1,1,0,0,0,0,0,0,0
842,0,0,0,0,0,0,0,0,0,0,0,7,8,1,3,0,5,6,0,0,0,1,1,0,0,0,0,0
843,0,0,0,0,0,0,0,0,0,1,2,5,4,0,7,0,4,2,0,0,0,1,0,1,0,0,0,0
844,0,0,0,0,0,0,0,0,0,0,0,6,8,0,2,0,4,3,0,0,3,0,0,0,0,0,0,1
845,0,0,0,0,0,0,2,0,0,0,1,10,13,1,1,0,14,9,0,0,3,1,0,0,1,0,0,0
