,P-11,m-10,P-8,m-7,M-6,m-6,P-5,A-4,d-5,P-4,M-3,m-3,M-2,m-2,P1,m2,M2,m3,A2,M3,P4,P5,m6,M6,m7,P8,M9,m10
20,0,0,0,0,0,1,1,0,0,4,0,4,8,0,3,0,13,10,0,0,0,0,1,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,1,1,3,10,0,1,0,7,2,0,2,1,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,2,0,5,2,0,1,0,4,5,0,0,2,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,4,1,5,12,1,9,1,13,7,0,1,0,0,0,0,0,0,0,0
24,0,0,0,0,0,1,1,0,0,2,1,4,8,1,2,0,11,9,0,1,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,1,1,3,7,0,4,0,4,0,0,0,2,1,0,0,0,0,0,0
26,0,0,0,0,0,1,0,0,0,2,0,5,13,0,6,0,13,7,0,1,2,0,0,0,0,0,0,0
27,0,0,0,0,0,0,3,0,0,0,1,7,8,1,7,0,12,9,0,0,2,0,0,0,0,0,0,0
74,0,0,0,0,0,2,1,0,0,4,0,1,3,0,1,0,8,9,0,1,1,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,1,0,4,4,0,1,0,2,3,0,0,2,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,3,0,3,5,0,0,0,7,6,0,0,1,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,3,3,0,1,2,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,2,0,3,5,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,1,0,4,13,0,2,0,8,2,0,2,0,2,0,0,0,0,0,0
134,0,0,0,0,0,1,0,0,0,2,0,2,5,0,3,0,5,4,0,0,0,0,0,0,1,0,0,0
135,0,0,0,0,0,0,0,0,0,2,0,4,8,0,4,0,2,1,0,1,1,0,0,0,1,0,0,0
136,0,0,0,0,0,0,0,0,0,0,0,2,5,1,4,1,3,1,0,0,1,0,0,0,0,0,0,0
