,median_duration
427,0.5
428,0.5
721,1.0
722,1.0
723,1.0
724,0.75
725,1.0
726,1.0
727,1.0
728,1.0
729,1.0
730,1.0
731,1.0
732,1.0
733,1.0
734,1.0
735,1.0
736,1.0
738,
739,
740,
741,
742,
743,
744,
745,
746,
747,
748,
777,1.0
778,1.0
779,1.0
780,1.5
924,1.0
925,1.0
926,1.0
971,1.0
972,1.0
973,1.0
974,1.0
985,1.0
986,1.0
987,1.0
988,1.0
989,1.0
990,1.0
991,1.0
993,
994,
995,
996,
997,
998,
999,
1000,
1001,
1002,
1003,
1004,
1005,
1007,1.0
1008,0.5
1009,1.0
1010,0.5
1011,0.75
1012,0.5
1013,1.0
1014,0.5
1015,0.5
1016,1.0
1017,1.0
1018,0.5
1019,0.5
1020,1.0
1021,0.75
1022,0.5
1023,0.5
1024,0.75
1025,1.0
1026,1.0
1027,1.0
1030,
1031,
1032,
1033,
1034,
1035,
1036,
1037,
1038,
1039,
1040,
1041,
1042,
1043,
1044,
1045,
1046,
1047,
1048,
1049,
1051,1.0
1052,1.0
1053,1.0
1054,1.0
1055,1.0
1056,1.0
1057,1.0
1058,1.0
1059,1.0
1060,1.0
1061,1.0
1062,1.0
1063,1.0
1064,1.0
1065,1.0
1066,1.0
1067,1.0
1068,1.0
1069,1.0
1072,
1073,
1074,
1075,
1076,
1077,
1078,
1079,
1080,
1081,
1082,
1083,
