,median_duration
80,1.0
81,1.5
82,1.25
83,1.0
84,1.25
85,1.0
86,1.0
90,2.0
91,1.5
92,1.25
93,1.0
94,1.25
95,1.0
96,1.75
98,1.0
99,2.0
100,1.0
101,1.0
103,1.25
104,2.0
105,1.5
106,2.0
107,1.0
108,1.0
109,1.0
110,1.25
111,1.0
112,1.0
113,1.0
114,1.0
115,1.0
116,1.25
117,1.125
118,1.25
119,1.125
557,1.5
558,2.0
559,2.0
560,1.0
561,1.5
562,1.0
563,1.0
564,2.0
565,1.25
566,1.0
567,1.0
568,1.0
569,1.0
570,1.5
571,1.0
572,1.0
693,2.0
694,1.25
695,1.125
696,1.0
697,1.0
698,1.0
699,1.0
700,1.0
701,1.0
702,1.125
927,2.0
928,2.0
929,2.0
930,2.0
931,2.0
932,2.0
