,median_duration
206,0.5
207,1.0
208,0.75
209,0.5
210,1.5
211,0.75
212,1.0
213,1.0
214,1.0
215,1.0
216,0.5
217,1.0
218,0.5
219,0.5
220,1.0
221,0.5
222,0.5
223,0.5
224,0.5
225,0.75
226,1.0
227,1.0
228,0.5
229,1.0
230,0.5
231,1.0
232,1.0
249,1.0
250,1.0
251,1.0
252,1.0
253,0.75
254,1.0
255,1.0
256,1.0
257,0.625
258,0.5
259,0.5
260,0.5
261,0.5
262,1.0
275,0.75
276,0.75
277,1.0
278,1.0
279,1.0
280,0.5
281,0.5
282,0.5
283,0.5
284,0.5
285,1.0
286,0.5
287,1.0
288,1.0
289,0.5
290,1.0
291,1.0
292,0.5
293,0.5
294,1.0
295,0.5
296,0.5
297,0.5
298,0.5
299,1.0
300,1.0
301,1.0
302,0.5
303,1.0
304,0.5
305,1.0
306,1.0
307,1.0
308,0.75
309,1.0
310,1.0
311,1.0
312,1.0
313,1.0
314,0.5
315,1.0
316,0.75
317,0.5
318,0.5
319,1.0
320,0.75
321,0.5
322,1.0
323,0.5
324,1.0
325,1.0
326,1.0
327,0.75
328,0.5
329,1.0
330,0.5
331,1.0
333,0.75
334,0.5
335,1.0
336,0.5
337,0.75
338,1.0
373,0.5
374,0.875
375,0.5
376,0.5
377,1.0
378,0.75
379,0.5
380,1.5
381,0.5
382,1.0
383,1.0
384,0.5
385,1.0
386,1.0
407,1.0
408,1.0
409,1.0
410,0.5
411,0.5
412,0.5
413,0.5
414,1.0
415,1.0
416,1.0
417,0.75
418,1.0
419,1.0
420,1.0
421,1.0
422,1.0
451,1.0
452,0.5
453,1.0
454,1.0
455,0.5
456,0.5
457,1.0
458,1.0
703,0.75
704,1.0
705,0.75
706,0.5
707,0.75
708,0.5
709,1.0
711,1.0
712,1.0
713,0.75
714,0.5
715,1.0
716,1.0
717,1.0
761,1.0
762,0.5
763,0.75
764,0.75
765,1.0
766,0.75
767,0.75
768,0.5
769,0.5
770,0.5
771,1.0
772,1.0
773,1.0
774,0.75
775,0.5
776,1.0
817,1.0
818,0.75
819,0.5
820,1.0
821,1.0
822,1.0
823,0.75
824,1.0
825,0.5
826,1.0
869,1.0
870,
871,1.0
872,1.0
873,0.5
874,0.5
875,1.0
876,0.5
877,0.5
878,0.75
879,1.0
880,1.0
881,0.875
882,0.5
883,1.0
893,0.75
894,0.75
895,0.625
896,0.5
897,0.5
898,1.0
899,0.5
900,0.5
901,0.5
902,1.0
903,1.0
904,1.0
933,1.0
934,1.0
935,0.5
936,1.0
937,1.0
938,1.0
939,1.0
940,1.0
941,1.0
942,1.0
943,2.0
957,0.5
958,0.5
959,0.5
960,0.5
961,0.5
962,0.5
963,0.5
964,0.5
965,0.5
966,0.5
967,0.5
968,0.5
969,0.5
970,1.5
