,median_duration
0,1.75
1,1.625
2,2.0
3,1.5
4,2.0
5,2.0
6,1.75
7,1.125
8,1.0
9,1.125
10,1.25
11,1.75
12,2.0
13,1.125
28,2.0
29,1.75
30,1.875
31,1.75
32,2.0
33,1.75
34,2.0
35,1.75
36,1.0
37,1.25
38,1.0
39,1.0
40,1.0
41,1.125
42,2.875
43,2.0
44,2.0
45,1.0
46,2.0
47,2.0
48,2.0
49,1.75
50,1.75
51,1.25
52,1.0
53,1.25
54,1.25
55,1.5
56,1.75
57,1.5
58,1.75
59,1.25
60,1.0
61,1.0
62,1.0
63,1.0
64,1.25
65,1.0
66,3.5
67,1.75
68,2.75
69,1.5
70,1.0
71,1.0
72,1.5
73,2.75
88,2.0
89,1.0
120,2.0
121,1.5
122,2.0
123,1.0
124,1.0
125,1.0
126,1.0
127,1.75
128,2.0
129,1.25
130,1.25
131,1.0
132,1.0
133,1.0
166,1.75
167,1.75
168,2.0
169,1.625
194,2.0
195,1.0
196,2.0
197,1.75
198,1.375
263,1.625
264,1.625
265,1.625
266,1.625
267,1.75
268,1.75
269,1.75
270,1.75
271,1.75
272,1.75
273,1.75
274,1.625
347,2.0
348,1.625
349,1.5
350,1.75
351,1.75
352,1.75
353,1.125
354,1.75
391,1.5
392,1.625
393,1.5
394,1.625
429,2.0
430,2.0
431,2.0
432,2.0
433,2.0
435,2.0
436,2.0
437,2.0
438,3.0
439,2.0
440,2.0
441,1.75
442,2.0
443,2.0
444,2.0
445,2.0
446,2.0
447,2.0
448,2.0
449,1.875
450,2.0
470,2.0
471,1.5
472,2.0
473,1.5
477,1.75
478,2.0
479,1.625
480,1.0
481,1.0
482,1.0
505,1.5
506,1.625
507,1.0
508,1.75
509,1.875
510,1.75
511,1.25
585,3.5
586,1.5
587,1.5
588,2.0
589,1.0
590,1.0
591,1.0
592,1.0
593,1.0
594,0.75
595,1.0
596,1.0
597,1.0
598,1.0
599,1.5
600,1.25
623,3.5
624,1.5
625,1.5
626,2.0
627,1.0
628,1.0
629,1.0
630,1.0
631,1.0
632,0.75
633,1.0
634,1.0
635,1.0
636,1.0
637,1.75
638,1.25
639,3.5
640,1.75
641,2.5
642,1.0
643,1.0
644,1.625
645,1.25
646,1.0
647,1.0
648,1.0
649,1.0
650,1.75
677,3.0
678,1.5
679,2.25
680,1.0
681,1.0
682,2.0
683,1.25
684,1.25
685,1.0
686,1.0
687,1.0
688,1.25
801,2.0
802,1.5
803,2.0
804,2.0
805,1.5
806,1.5
807,1.0
808,1.75
827,1.25
828,1.75
829,1.75
830,1.5
831,2.0
832,1.5
833,1.5
834,1.5
835,1.5
