,median_duration
20,1.5
21,1.0
22,0.5
23,1.5
24,1.0
25,1.0
26,1.0
27,1.0
74,0.5
75,0.5
76,0.5
77,0.625
78,1.0
79,0.75
134,0.75
135,0.5
136,0.5
137,0.5
138,1.0
139,0.5
140,0.5
141,0.5
142,0.5
143,0.5
144,0.5
145,0.5
146,0.4375
147,0.5
148,0.75
149,0.5
150,1.0
151,1.0
152,0.5
153,0.625
154,1.0
155,0.5
156,0.5625
157,0.5
158,0.5625
159,0.75
160,0.5
161,0.5
162,0.625
163,0.5
164,0.875
165,0.5
170,1.25
171,0.75
172,1.0
173,0.75
233,2.0
234,1.75
235,1.5
236,1.0
237,1.5
238,1.5
239,1.25
240,1.5
241,1.75
242,1.0
243,1.5
244,1.75
245,1.25
246,2.0
247,1.0
248,1.75
339,2.0
340,2.0
341,2.0
342,2.0
343,2.0
344,2.0
345,2.0
346,2.0
355,2.0
356,2.0
357,2.0
358,2.0
361,2.0
362,2.0
363,2.0
364,2.0
365,2.0
366,1.25
367,2.0
368,1.25
369,2.0
370,1.75
371,1.25
372,2.0
387,1.5
388,2.0
389,1.75
390,2.0
395,2.0
396,1.75
397,2.0
398,1.25
399,1.75
400,1.75
401,1.0
423,1.0
424,1.0
425,1.0
426,1.0
483,2.0
484,1.0
485,1.0
486,1.0
487,1.5
488,1.0
489,1.0
490,1.0
491,1.0
492,1.0
493,1.0
494,0.875
495,0.75
496,1.0
497,0.9375
498,0.5
499,1.0
500,1.0
501,1.0
502,0.875
503,0.75
512,0.875
513,2.0
514,1.0
515,1.0
516,1.0
517,1.0
518,0.875
519,1.0
520,1.0
521,1.0
522,0.875
523,1.0
524,1.0
525,1.0
526,0.75
527,1.0
528,1.0
529,1.0
530,1.0
531,1.0
532,1.0
533,0.625
534,0.5
535,1.0
536,1.0
537,1.0
538,1.0
539,1.0
540,1.0
541,1.0
542,1.0
543,0.5
545,0.75
546,2.0
547,1.0
548,1.0
549,1.0
550,0.5
551,1.0
552,1.0
554,1.0
555,1.0
556,1.0
573,1.0
574,1.0
575,1.0
576,1.0
577,1.0
578,1.25
579,1.0
580,0.75
581,1.0
582,0.75
583,0.75
584,1.0
601,1.0
602,1.0
603,1.0
604,1.0
605,1.0
606,1.0
607,1.0
608,1.0
609,1.0
611,0.75
612,2.0
613,1.0
614,1.0
615,1.0
616,0.5
617,1.0
618,1.0
620,1.0
621,1.0
622,1.0
651,1.0
652,1.0
653,1.0
654,0.5
655,0.625
656,0.5
657,1.0
658,1.0
659,1.0
660,1.0
661,1.0
662,0.5
689,1.0
690,0.75
691,1.0
692,1.0
751,1.0
752,1.0
753,1.0
754,1.0
781,0.75
782,1.0
783,1.0
784,1.0
785,1.0
786,1.0
787,0.5
788,1.5
789,1.0
790,1.0
791,1.0
792,2.0
793,1.0
794,1.0
795,1.25
796,1.0
797,1.0
798,1.0
799,2.0
800,1.0
836,0.75
846,0.5
886,1.0
887,1.0
888,1.0
889,1.0
890,1.0
891,1.0
906,1.0
907,1.0
908,1.0
909,1.0
910,1.0
911,1.0
912,1.0
913,1.0
915,1.0
916,1.25
917,1.0
918,1.25
919,1.0
920,1.0
921,1.0
922,1.0
923,1.0
945,1.0
946,1.0
947,1.25
948,1.0
949,1.125
950,1.0
951,1.0
952,1.0
953,1.0
954,1.0
955,1.25
956,1.0
978,0.75
980,
981,
982,
983,
