,median_notes
427,1.0
428,1.0
721,1.0
722,2.0
723,1.0
724,1.0
725,1.0
726,1.0
727,2.0
728,1.0
729,1.0
730,1.0
731,2.0
732,1.0
733,1.0
734,1.0
735,1.0
736,1.0
738,
739,
740,
741,
742,
743,
744,
745,
746,
747,
748,
777,2.0
778,2.0
779,2.0
780,2.0
924,1.0
925,1.0
926,1.0
971,1.0
972,1.0
973,1.0
974,1.0
985,1.0
986,1.0
987,2.0
988,1.5
989,2.0
990,2.0
991,2.0
993,
994,
995,
996,
997,
998,
999,
1000,
1001,
1002,
1003,
1004,
1005,
1007,2.0
1008,1.0
1009,1.0
1010,1.0
1011,1.0
1012,1.0
1013,2.0
1014,1.0
1015,1.0
1016,2.0
1017,1.5
1018,1.0
1019,1.0
1020,2.0
1021,1.0
1022,1.0
1023,1.0
1024,1.5
1025,2.0
1026,1.0
1027,1.0
1030,
1031,
1032,
1033,
1034,
1035,
1036,
1037,
1038,
1039,
1040,
1041,
1042,
1043,
1044,
1045,
1046,
1047,
1048,
1049,
1051,1.0
1052,1.0
1053,1.0
1054,1.0
1055,1.0
1056,1.0
1057,1.0
1058,1.0
1059,1.0
1060,1.0
1061,1.0
1062,2.0
1063,1.0
1064,2.0
1065,2.0
1066,2.0
1067,1.0
1068,1.0
1069,1.0
1072,
1073,
1074,
1075,
1076,
1077,
1078,
1079,
1080,
1081,
1082,
1083,
