,median_notes
80,2.0
81,2.0
82,1.5
83,2.0
84,2.0
85,2.0
86,2.0
90,2.5
91,2.5
92,2.0
93,2.0
94,2.0
95,2.0
96,3.0
98,2.0
99,3.0
100,2.0
101,2.0
103,2.0
104,4.0
105,2.5
106,4.0
107,2.0
108,2.0
109,2.0
110,2.5
111,2.0
112,2.0
113,2.0
114,2.0
115,2.0
116,2.5
117,2.5
118,2.5
119,2.5
557,3.0
558,3.5
559,3.0
560,2.0
561,2.0
562,2.0
563,2.0
564,3.0
565,2.0
566,2.0
567,2.0
568,3.0
569,2.0
570,2.0
571,2.0
572,2.0
693,4.5
694,2.5
695,3.5
696,2.0
697,3.0
698,2.0
699,2.0
700,2.0
701,2.0
702,2.5
927,3.0
928,3.0
929,2.0
930,2.5
931,2.5
932,2.5
