,median_notes
206,1.0
207,2.0
208,2.0
209,1.0
210,3.0
211,1.0
212,2.0
213,1.5
214,1.5
215,1.0
216,1.0
217,2.0
218,1.0
219,2.0
220,2.0
221,1.0
222,1.0
223,1.0
224,1.0
225,1.5
226,2.0
227,1.0
228,1.0
229,2.0
230,1.0
231,1.0
232,2.0
249,1.0
250,1.0
251,1.5
252,1.5
253,1.5
254,1.5
255,1.0
256,1.0
257,1.0
258,1.0
259,1.0
260,1.0
261,1.0
262,2.0
275,1.5
276,2.0
277,1.5
278,2.0
279,2.0
280,1.0
281,2.0
282,1.0
283,1.0
284,2.0
285,2.0
286,1.0
287,2.0
288,2.0
289,1.0
290,2.0
291,2.0
292,1.0
293,1.0
294,2.0
295,1.0
296,1.0
297,1.0
298,1.0
299,2.0
300,2.0
301,2.0
302,1.0
303,2.0
304,1.0
305,1.0
306,2.0
307,1.5
308,1.0
309,1.0
310,2.0
311,2.0
312,1.0
313,1.0
314,1.0
315,2.0
316,1.0
317,1.0
318,1.0
319,1.5
320,1.0
321,1.0
322,2.0
323,1.0
324,2.5
325,1.0
326,1.0
327,1.0
328,1.0
329,1.5
330,1.0
331,2.0
333,1.5
334,1.0
335,2.0
336,1.0
337,1.0
338,1.0
373,1.0
374,1.0
375,1.0
376,1.0
377,1.0
378,1.0
379,1.0
380,3.0
381,1.0
382,1.0
383,2.0
384,1.0
385,1.0
386,2.0
407,2.0
408,2.0
409,1.0
410,1.0
411,1.0
412,1.0
413,1.0
414,1.0
415,1.5
416,1.5
417,1.0
418,1.0
419,1.5
420,1.0
421,1.0
422,1.5
451,2.0
452,1.0
453,1.0
454,2.0
455,1.0
456,1.0
457,1.0
458,2.0
703,1.5
704,2.0
705,1.5
706,1.0
707,2.0
708,1.0
709,2.0
711,2.0
712,2.0
713,1.5
714,1.0
715,2.0
716,1.0
717,1.5
761,1.0
762,1.0
763,1.5
764,1.5
765,2.0
766,1.0
767,2.0
768,1.0
769,2.0
770,1.5
771,1.5
772,1.0
773,2.0
774,2.0
775,1.0
776,2.0
817,2.0
818,1.0
819,1.0
820,1.0
821,1.0
822,2.0
823,1.0
824,1.0
825,1.0
826,2.0
869,2.0
870,
871,2.0
872,2.0
873,2.0
874,2.0
875,2.0
876,1.0
877,1.0
878,1.0
879,2.0
880,2.0
881,1.0
882,2.0
883,1.0
893,1.5
894,1.0
895,1.0
896,1.0
897,1.0
898,2.0
899,1.0
900,1.0
901,1.0
902,2.0
903,1.0
904,2.0
933,2.0
934,2.0
935,1.0
936,1.0
937,2.0
938,1.5
939,2.0
940,1.5
941,2.0
942,1.5
943,2.0
957,1.0
958,1.0
959,1.5
960,1.0
961,1.0
962,2.0
963,1.0
964,1.0
965,1.0
966,1.0
967,1.0
968,1.0
969,1.0
970,1.5
