,median_notes
0,5.0
1,3.5
2,4.0
3,3.5
4,5.0
5,5.0
6,5.0
7,4.5
8,3.0
9,4.5
10,4.0
11,5.0
12,4.5
13,4.0
28,5.0
29,4.0
30,4.0
31,4.0
32,5.5
33,3.5
34,5.0
35,5.5
36,3.0
37,4.0
38,3.5
39,4.0
40,3.5
41,3.5
42,10.5
43,7.0
44,7.5
45,3.0
46,7.0
47,8.5
48,4.0
49,4.0
50,4.0
51,4.0
52,3.0
53,3.0
54,2.5
55,4.0
56,8.5
57,5.5
58,7.0
59,5.0
60,4.0
61,4.5
62,4.0
63,5.0
64,4.0
65,4.0
66,11.0
67,5.0
68,11.0
69,5.0
70,3.0
71,3.0
72,4.0
73,9.0
88,8.5
89,4.5
120,5.5
121,4.0
122,4.0
123,3.5
124,2.0
125,4.0
126,3.0
127,4.0
128,4.5
129,3.0
130,3.5
131,2.0
132,2.0
133,2.0
166,5.0
167,3.5
168,4.0
169,4.0
194,6.0
195,3.5
196,8.0
197,7.0
198,4.0
263,6.5
264,6.5
265,7.0
266,6.0
267,4.0
268,4.0
269,4.0
270,4.0
271,4.0
272,4.0
273,4.0
274,4.0
347,4.0
348,5.0
349,4.0
350,5.5
351,4.0
352,3.5
353,3.0
354,3.5
391,4.5
392,4.5
393,3.5
394,4.5
429,3.5
430,4.5
431,3.0
432,3.0
433,3.0
435,4.0
436,7.0
437,5.0
438,5.0
439,5.0
440,4.0
441,6.0
442,7.0
443,6.0
444,6.0
445,5.0
446,4.5
447,4.0
448,4.5
449,4.0
450,4.0
470,6.0
471,4.0
472,6.0
473,5.0
477,4.5
478,4.0
479,4.0
480,2.0
481,3.0
482,2.0
505,3.0
506,3.5
507,3.0
508,2.5
509,5.5
510,3.5
511,4.0
585,9.0
586,3.0
587,3.5
588,4.0
589,2.0
590,2.0
591,3.0
592,3.0
593,2.0
594,1.0
595,2.0
596,2.0
597,3.0
598,3.0
599,4.0
600,3.5
623,7.0
624,3.0
625,3.5
626,4.0
627,2.0
628,3.0
629,3.0
630,3.0
631,2.0
632,1.0
633,2.0
634,2.0
635,3.0
636,3.0
637,4.0
638,3.5
639,10.0
640,7.0
641,7.5
642,3.0
643,4.0
644,3.5
645,3.5
646,2.0
647,3.0
648,4.0
649,4.0
650,5.0
677,9.0
678,3.0
679,7.0
680,3.0
681,3.0
682,3.5
683,2.0
684,3.0
685,2.5
686,2.0
687,2.5
688,4.0
801,4.0
802,4.0
803,3.0
804,4.0
805,3.0
806,3.0
807,3.0
808,3.0
827,4.0
828,2.5
829,3.0
830,2.0
831,3.5
832,4.0
833,3.0
834,2.0
835,2.0
