,median_notes
20,6.0
21,3.0
22,3.0
23,4.0
24,3.0
25,3.0
26,3.0
27,4.0
74,2.0
75,2.0
76,2.0
77,2.0
78,2.0
79,2.0
134,2.0
135,2.0
136,2.0
137,2.0
138,3.0
139,2.0
140,2.0
141,2.0
142,1.5
143,2.0
144,2.0
145,2.0
146,2.0
147,1.0
148,2.0
149,2.0
150,2.0
151,2.0
152,1.5
153,2.0
154,2.0
155,1.0
156,2.0
157,1.5
158,1.5
159,3.0
160,2.0
161,2.0
162,2.5
163,1.0
164,2.0
165,2.0
170,3.5
171,2.0
172,3.0
173,2.0
233,3.5
234,3.5
235,3.0
236,2.0
237,2.5
238,4.0
239,3.0
240,3.0
241,3.5
242,2.0
243,2.0
244,4.0
245,2.5
246,3.5
247,2.0
248,3.5
339,3.0
340,3.5
341,2.0
342,4.0
343,3.0
344,3.0
345,2.0
346,3.5
355,4.0
356,3.0
357,2.0
358,2.5
361,3.5
362,5.0
363,4.0
364,3.5
365,3.5
366,2.5
367,2.5
368,2.0
369,3.0
370,2.0
371,2.0
372,3.5
387,3.0
388,3.5
389,3.0
390,4.0
395,3.0
396,3.0
397,3.0
398,3.5
399,3.5
400,3.0
401,4.0
423,3.5
424,4.0
425,4.0
426,4.0
483,4.0
484,2.0
485,2.0
486,2.0
487,4.0
488,2.0
489,3.0
490,2.0
491,3.0
492,2.0
493,3.0
494,3.0
495,2.0
496,2.0
497,2.0
498,2.0
499,2.0
500,2.0
501,2.0
502,2.0
503,2.0
512,3.0
513,5.0
514,4.0
515,2.5
516,2.0
517,3.5
518,2.0
519,3.0
520,2.5
521,4.0
522,2.5
523,3.5
524,2.5
525,2.5
526,2.0
527,2.0
528,2.5
529,2.5
530,2.5
531,2.0
532,1.0
533,1.5
534,2.0
535,3.0
536,2.0
537,2.0
538,2.0
539,2.0
540,2.0
541,2.0
542,2.0
543,2.0
545,1.5
546,4.0
547,2.0
548,2.0
549,2.0
550,1.0
551,3.0
552,2.5
554,1.0
555,2.0
556,2.5
573,3.5
574,3.0
575,2.0
576,2.0
577,1.5
578,2.0
579,3.0
580,2.0
581,2.0
582,2.0
583,2.0
584,2.0
601,4.0
602,2.0
603,2.0
604,2.0
605,2.0
606,2.0
607,2.0
608,2.0
609,2.0
611,1.5
612,4.0
613,2.0
614,2.0
615,2.0
616,1.0
617,3.0
618,2.5
620,1.0
621,2.0
622,2.5
651,2.5
652,3.0
653,3.0
654,2.0
655,2.0
656,2.0
657,3.5
658,2.0
659,2.0
660,2.0
661,1.0
662,1.0
689,2.0
690,2.0
691,3.0
692,2.0
751,3.0
752,3.0
753,3.0
754,2.5
781,2.0
782,3.0
783,3.0
784,3.0
785,4.0
786,4.0
787,1.0
788,2.0
789,3.0
790,3.0
791,3.0
792,3.0
793,2.0
794,3.0
795,3.5
796,2.5
797,3.0
798,3.0
799,4.0
800,4.0
836,3.0
846,2.5
886,2.5
887,2.0
888,3.0
889,2.0
890,2.5
891,2.0
906,3.0
907,2.5
908,3.0
909,2.5
910,3.0
911,2.5
912,2.0
913,2.0
915,3.0
916,3.0
917,2.0
918,3.5
919,2.5
920,3.0
921,3.0
922,2.0
923,2.0
945,2.0
946,2.0
947,4.0
948,2.0
949,4.0
950,2.5
951,2.0
952,3.0
953,2.0
954,2.0
955,4.0
956,2.0
978,2.0
980,
981,
982,
983,
