,F#3,G#3,A3,A#3,B3,C#4,C##4,D#4,E4,F#4,G#4,A4,A#4,B4,C#5,D#5,E5,F#5,G#5,A5,A#5,B5,C#6
199,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.25,0.25,0.0,2.25,2.375,0.125,2.75,0.5,0.0,0,0,0,0
200,0,0,0,0,0,0.0,0,0.25,0.25,2.125,2.75,0.5625,0.0,1.75,1.5625,0.0,0.75,0.0,0.0,0,0,0,0
201,0,0,0,0,0,0.0,0,0.0,0.0,0.25,2.875,0.25,0.0,2.125,1.0,0.0,1.75,0.0,0.0,0,0,0,0
202,0,0,0,0,0,0.0,0,0.25,0.25,1.625,3.25,0.125,0.0,3.375,1.375,0.0,0.0,0.0,0.0,0,0,0,0
203,0,0,0,0,0,0.0,0,0.0,0.0,0.25,1.875,0.375,0.0,1.875,1.125,0.0,2.0,0.0,0.0,0,0,0,0
204,0,0,0,0,0,0.0,0,0.0,0.25,3.375,3.375,1.25,0.0,2.5,1.75,0.0,0.0,0.0,0.0,0,0,0,0
205,0,0,0,0,0,0.0,0,0.0,0.0,0.25,2.375,0.625,0.0,2.25,0.75,0.0,1.5,0.0,0.0,0,0,0,0
402,0,0,0,0,0,0.0,0,0.0,0.25,2.5,6.375,1.625,0.0,1.5,2.25,0.0,0.0,0.0,0.0,0,0,0,0
403,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.125,0.5,0.0,2.25,2.25,0.75,2.375,0.5,0.0,0,0,0,0
404,0,0,0,0,0,0.0,0,0.0,0.25,1.75,4.5,1.0,0.0,2.5,2.75,1.25,1.0,0.875,0.125,0,0,0,0
405,0,0,0,0,0,0.0,0,0.0,0.0,1.0,3.75,0.0,0.0,5.0,4.75,3.0,0.5,0.25,0.0,0,0,0,0
406,0,0,0,0,0,0.0,0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,3.0,0.0,1.0,0.0,0.0,0,0,0,0
459,0,0,0,0,0,0.0,0,0.0,0.0,0.75,2.125,0.25,0.0,4.125,3.0,0.875,3.125,0.375,0.125,0,0,0,0
460,0,0,0,0,0,0.0,0,0.0,0.0,0.75,2.875,1.375,0.0,1.125,3.375,0.5,1.0,0.25,0.0,0,0,0,0
461,0,0,0,0,0,0.0,0,0.0,0.0,0.0,2.125,0.0,0.0,1.875,0.75,0.0,2.125,0.125,0.0,0,0,0,0
462,0,0,0,0,0,0.0,0,0.0,0.0,1.25,2.625,0.375,0.0,2.25,2.0,0.25,0.5,1.0,0.0,0,0,0,0
463,0,0,0,0,0,0.0,0,0.0,0.0,0.5,1.625,0.0,0.0,1.625,1.0,0.0,2.25,0.0,0.0,0,0,0,0
464,0,0,0,0,0,0.0,0,0.0,0.875,2.75,4.5625,1.0,0.0,2.1875,1.75,0.0,0.375,0.0,0.0,0,0,0,0
465,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.25,0.0,0.0,1.75,1.5,0.0,2.0,0.0,0.0,0,0,0,0
466,0,0,0,0,0,0.0,0,0.0,0.0,0.75,1.625,1.75,0.5,1.0,1.625,0.125,0.0,0.0,0.0,0,0,0,0
467,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.25,0.0,0.0,2.25,1.25,0.0,2.0,0.0,0.0,0,0,0,0
468,0,0,0,0,0,0.0,0,0.0,0.0,1.0,2.75,0.0,0.0,4.25,2.5,0.5,1.5,0.5,0.0,0,0,0,0
892,0,0,0,0,0,2.75,0,0.0,5.0,2.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
