,F#3,G#3,A3,A#3,B3,C#4,C##4,D#4,E4,F#4,G#4,A4,A#4,B4,C#5,D#5,E5,F#5,G#5,A5,A#5,B5,C#6
427,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,1.5,0.0,0,1.0,1.75,0,1.25,1.0,0,0,0,0,0
428,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.75,0.0,0,4.0,1.75,0,3.0,0.0,0,0,0,0,0
721,0,0.0,0,0,0.0,1.0,0,0.0,2.5,0.5,1.5,0.0,0,1.0,0.0,0,0.0,0.0,0,0,0,0,0
722,0,0.0,0,0,0.0,0.0,0,0.0,1.0,6.0,6.5,0.0,0,1.5,0.0,0,0.0,0.0,0,0,0,0,0
723,0,0.0,0,0,0.0,1.0,0,0.0,2.5,1.5,0.5,0.0,0,1.0,0.0,0,0.0,0.0,0,0,0,0,0
724,0,0.0,0,0,0.0,0.0,0,0.0,2.5,2.5,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
725,0,0.0,0,0,0.0,1.5,0,0.0,2.5,1.5,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
726,0,0.0,0,0,0.0,0.5,0,0.0,1.5,2.5,2.5,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
727,0,0.0,0,0,0.0,1.5,0,0.0,4.0,1.5,1.0,0.0,0,1.0,0.0,0,0.0,0.0,0,0,0,0,0
728,0,0.0,0,0,0.0,0.0,0,0.0,1.5,1.5,2.5,1.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
729,0,0.0,0,0,0.0,2.0,0,0.0,2.5,1.5,0.5,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
730,0,0.0,0,0,0.0,0.0,0,0.0,2.0,1.5,2.5,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
731,0,0.0,0,0,1.5,2.0,0,1.5,1.0,0.5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
732,0,0.0,0,0,0.0,1.5,0,0.0,2.0,1.5,1.5,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
733,0,0.0,0,0,0.0,1.5,0,0.0,3.5,0.5,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
734,0,0.0,0,0,0.0,0.0,0,0.0,2.0,3.5,1.5,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
735,0,0.0,0,0,0.0,1.5,0,0.0,1.5,1.5,2.0,0.0,0,2.5,0.0,0,0.0,0.0,0,0,0,0,0
736,0,0.0,0,0,0.0,0.0,0,0.0,5.25,4.75,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
738,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
739,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
740,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
741,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
742,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
743,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
744,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
