,F#3,G#3,A3,A#3,B3,C#4,C##4,D#4,E4,F#4,G#4,A4,A#4,B4,C#5,D#5,E5,F#5,G#5,A5,A#5,B5,C#6
80,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,2.0,0.0,0.0,1.5,5.0,2.5,3.5,0.0,0.0,0,0,0.0,0
81,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0,2.5,5.5,4.0,0.0,2.75,0.75,0,0,0.0,0
82,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.25,0.0,0.0,3.0,2.75,2.5,4.5,0.0,0.0,0,0,0.0,0
83,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,1.75,0.0,0.0,3.75,5.25,2.5,0.75,0.5,0.0,0,0,0.0,0
84,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,2.5,0.0,0.0,4.25,2.0,1.75,3.0,0.0,0.0,0,0,0.0,0
85,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.5,0.0,0.0,6.5,8.0,7.5,1.5,1.5,0.5,0,0,0.0,0
86,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,2.0,0.0,0.0,4.0,10.0,5.5,1.0,1.0,0.0,0,0,0.0,0
90,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,3.0,0.0,0.0,7.0,5.25,2.5,7.75,0.0,0.0,0,0,0.0,0
91,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.25,0.5,0.0,3.25,5.0,2.5,0.0,2.5,0.0,0,0,0.0,0
92,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,2.25,0.0,0.0,3.5,4.0,2.25,3.5,0.0,0.0,0,0,0.0,0
93,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,5.25,2.75,0.5,2.5,0.0,0,0,0.0,0
94,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.75,0.0,0.0,4.75,5.25,1.75,3.5,0.0,0.0,0,0,0.0,0
