,F#3,G#3,A3,A#3,B3,C#4,C##4,D#4,E4,F#4,G#4,A4,A#4,B4,C#5,D#5,E5,F#5,G#5,A5,A#5,B5,C#6
206,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.25,0.0,0.0,2.25,0.75,0.0,0.75,0.0,0.0,0,0,0,0
207,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0,2.0,2.5,0.0,2.0,0.0,0.0,0,0,0,0
208,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.5,1.25,0.5,0.0,1.0,1.75,0.0,0.0,0.0,0.0,0,0,0,0
209,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.25,0.0,0.0,1.0,1.25,0.0,0.5,0.0,0.0,0,0,0,0
210,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.5,0.5,0.5,0.5,0.0,0,0,0,0
211,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0,1.5,1.0,0.0,3.5,0.75,0.25,0,0,0,0
212,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.5,0.0,0.0,2.5,1.25,0.0,0.75,0.0,0.0,0,0,0,0
213,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.25,0.0,0.0,2.0,2.25,0.0,0.5,0.0,0.0,0,0,0,0
214,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.75,0.75,0.5,0.0,1.75,1.25,0.0,3.25,1.0,0.25,0,0,0,0
215,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2.75,0.0,0.0,2.5,1.25,0.0,1.5,0.0,0.0,0,0,0,0
216,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.5,0.0,0.5,3.25,1.5,0.0,2.0,0.25,0.0,0,0,0,0
217,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0,1.5,1.0,0.0,3.25,1.0,0.25,0,0,0,0
218,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.25,0.0,0.0,2.25,1.5,0.0,0.5,0.0,0.0,0,0,0,0
219,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.75,0.0,0.0,1.0,1.25,0.0,1.0,0.0,0.0,0,0,0,0
220,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.5,1.75,1.0,0.0,1.5,0.75,0.0,0.0,0.0,0.0,0,0,0,0
221,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0,2.0,1.0,0.0,1.5,0.0,0.0,0,0,0,0
222,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0,2.0,1.5,0.0,0.5,0.0,0.0,0,0,0,0
223,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0,2.0,1.0,0.0,1.5,0.0,0.0,0,0,0,0
224,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0,1.5,1.5,0.0,0.5,0.0,0.0,0,0,0,0
225,0.0,0.0,0.0,0,0.0,0.75,0,0.0,0.5,3.5,2.75,1.0,0.0,3.75,3.5,0.75,2.5,0.5,0.0,0,0,0,0
226,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.5,3.0,0.5,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0
227,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.5,0.0,2.5,0.0,0.0,0,0,0,0
228,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.5,0.0,0.0,0,0,0,0
229,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.75,0.0,0.0,2.0,1.25,0.0,0.5,0.0,0.0,0,0,0,0
230,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0,1.75,1.75,0.0,0.5,0.0,0.0,0,0,0,0
231,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.5,0.0,0.0,2.0,1.5,0.0,1.0,0.0,0.0,0,0,0,0
232,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.5,0.0,0.0,4.0,1.0,0.0,1.25,0.25,0.0,0,0,0,0
249,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,3.5,1.0,0.0,0,0,0,0
250,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.5,0.0,0.0,2.75,2.0,0.0,1.75,0.0,0.0,0,0,0,0
251,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2.5,0.0,0.0,4.0,1.5,0.0,0.0,0.0,0.0,0,0,0,0
252,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.75,7.5,2.0,0.0,6.25,3.5,0.25,2.25,0.0,0.0,0,0,0,0
253,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0.0,2.5,1.0,0.0,2.0,0.0,0.0,0,0,0,0
254,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2.5,0.0,0.0,5.5,1.0,0.0,3.5,0.0,0.0,0,0,0,0
255,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.5,0.0,0.0,1.0,1.0,0.0,1.5,1.0,0.0,0,0,0,0
256,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2.25,0.0,0.0,1.25,1.75,0.0,0.25,0.0,0.0,0,0,0,0
257,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.25,1.25,0.0,2.0,0.0,0.0,0,0,0,0
258,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.75,0.0,0.0,2.5,0.75,0.0,0.5,0.0,0.0,0,0,0,0
259,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.25,0.0,0.0,1.5,1.25,0.0,1.5,0.0,0.0,0,0,0,0
260,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.25,0.0,0.0,2.0,0.75,0.0,0.5,0.0,0.0,0,0,0,0
261,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.25,0.0,0.0,0.75,0.5,0.0,1.0,0.0,0.0,0,0,0,0
262,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.5,0.5,1.5,0.0,0.0,0,0,0,0
275,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0,1.5,1.0,0.0,3.0,1.5,0.0,0,0,0,0
276,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2.5,0.0,0.0,2.75,1.5,0.0,0.75,0.0,0.0,0,0,0,0
277,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.5,0.0,0.5,0.0,0.0,0,0,0,0
278,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.75,0.75,0.5,0.0,1.75,1.25,0.0,3.0,1.5,0.0,0,0,0,0
279,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.75,0.0,0.0,3.25,1.5,0.0,1.5,0.0,0.0,0,0,0,0
280,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2.5,0.0,0.0,3.25,0.75,0.5,2.75,0.25,0.0,0,0,0,0
281,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.75,0.0,0.0,2.25,1.5,0.0,0.5,0.0,0.0,0,0,0,0
282,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.5,0.0,0.0,0,0,0,0
283,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.5,0.0,0.0,1.5,1.0,0.0,0.5,0.0,0.0,0,0,0,0
284,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.75,0.0,0.0,4.25,2.5,0.25,1.75,1.0,0.0,0,0,0,0
285,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.5,0.0,0.0,2.5,1.5,0.0,0.5,0.0,0.0,0,0,0,0
286,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.5,0.0,0.0,1.5,0.5,0.0,1.0,0.0,0.0,0,0,0,0
287,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0,1.75,2.25,1.0,1.0,0.0,0.0,0,0,0,0
288,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.5,1.25,0.75,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0,0,0,0
289,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0,0.75,1.75,0.0,1.0,0.0,0.0,0,0,0,0
290,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.5,0.75,0.75,0.0,2.75,2.25,0.5,1.0,1.0,0.0,0,0,0,0
291,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0,1.5,1.0,0.0,3.25,1.25,0.0,0,0,0,0
