,F#3,G#3,A3,A#3,B3,C#4,C##4,D#4,E4,F#4,G#4,A4,A#4,B4,C#5,D#5,E5,F#5,G#5,A5,A#5,B5,C#6
20,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,3.75,2.75,2.5,3.75,1.25,0.0,0.0,0,0.0,0.0
21,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,2.75,2.25,1.75,0.0,0.5,0.25,0.0,0,0.0,0.0
22,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,2.0,1.5,1.25,0.5,0.0,0.0,0,0.0,0.0
23,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,4.5,3.75,4.25,2.25,3.25,0.75,0.0,0,0.0,0.0
24,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,2.5,3.25,3.5,2.75,0.75,0.75,0.0,0,0.0,0.0
25,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,2.25,1.75,1.25,0.0,2.75,0.0,0.0,0,0.0,0.0
26,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.5,8.0,3.0,1.0,1.25,0.0,0.0,0,0.0,0.0
27,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.25,1.75,0.25,0.0,4.25,6.5,3.75,1.25,2.0,0.0,0.0,0,0.0,0.0
74,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,3.875,2.375,0.75,3.25,0.25,0.0,0.0,0,0.0,0.0
75,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,1.5,1.5,0.75,0.0,0.75,0.0,0.0,0,0.0,0.0
76,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.25,1.25,0.0,0.0,2.5,2.0,0.375,0.875,0.25,0.0,0.0,0,0.0,0.0
77,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,2.25,2.0,1.25,0.0,0.5,0.0,0.0,0,0.0,0.0
78,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.25,1.25,0.0,0.0,3.0,3.25,2.0,0.5,0.75,0.0,0.0,0,0.0,0.0
79,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.0,5.5,6.0,2.375,0.75,1.625,0.5,0.0,0,0.0,0.0
134,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,2.25,2.25,1.75,2.75,1.25,0.0,0.0,0,0.0,0.0
135,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,1.25,1.875,1.375,0.0,1.25,0.0,0.0,0,0.0,0.0
136,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,2.75,1.5,1.5,0.5,0,0.0,0.0
137,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,0.0,0.25,4.25,3.5,2.75,1.75,4.0,0.0,0.0,0,0.0,0.0
138,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.625,1.125,0.75,0.0,2.625,7.625,5.0,2.75,1.5,0.0,0.0,0,0.0,0.0
139,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.75,1.625,2.0,0.0,0.875,0.0,0.0,0,0.0,0.0
140,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.5,0.875,0.0,2.875,0.625,0.5,0.0,0,0.0,0.0
141,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,2.125,1.875,0.0,4.25,0.0,0.0,0,0.0,0.0
142,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.25,0.875,0.5,2.0,0.625,0.5,0.0,0,0.0,0.0
143,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.5,1.75,1.0,0.0,1.5,0.0,0.0,0,0.0,0.0
144,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.875,0.0,0.0,2.125,0.875,0.0,1.25,0.25,0.0,0.0,0,0.0,0.0
145,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,1.0,1.875,1.875,0.0,1.75,0.0,0.0,0,0.0,0.0
146,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.25,1.25,0.0,0.0,1.625,1.875,0.0,1.375,0.0,0.0,0.0,0,0.0,0.0
147,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.25,1.125,0.0,0.375,3.625,8.375,6.0,1.5,4.125,6.625,0.0,0,0.5,0.25
148,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.75,2.25,1.75,1.75,1.25,0.0,0.0,0,0.0,0.0
149,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.5,1.0,1.25,1.25,2.5,0.25,0.0,0,0.25,0.0
150,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,3.5,2.5,0.5,3.5,1.0,0.0,0.0,0,0.0,0.0
151,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,2.875,1.75,1.125,0.0,1.25,0.25,0.0,0,0.0,0.0
152,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,2.75,1.0,1.75,0.5,0,0.0,0.0
153,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.625,1.375,0.125,0.0,4.625,3.75,2.625,1.75,4.5,0.25,0.0,0,0.125,0.0
154,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.375,0.75,0.0,2.625,7.875,4.75,3.625,1.25,0.0,0.0,0,0.0,0.0
155,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,1.5,2.375,1.625,0.0,0.875,0.0,0.0,0,0.0,0.0
156,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,1.5,0.75,0.25,3.5,0.5,0.5,0.0,0,0.0,0.0
157,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.5,2.0,1.75,0.0,4.25,0.0,0.0,0,0.0,0.0
158,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.5,1.5,0.5,2.0,0.25,0.5,0.0,0,0.0,0.0
159,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.125,0.25,0.0,1.25,2.0,1.375,0.0,1.5,0.0,0.0,0,0.0,0.0
160,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.25,2.125,0.0,1.625,0.0,0.0,0.0,0,0.0,0.0
161,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,1.0,2.0,1.75,0.0,1.5,0.0,0.0,0,0.0,0.0
162,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.25,1.5,0.0,0.0,2.5,1.75,0.25,1.25,0.25,0.0,0.0,0,0.0,0.0
163,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.25,1.75,0.25,0.0,4.25,7.625,6.25,1.5,4.75,6.375,0.0,0,0.5,0.25
164,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,2.25,2.25,2.0,2.25,1.25,0.0,0.0,0,0.0,0.0
165,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.25,0.75,0.5,1.25,4.0,0.25,0.0,0,0.25,0.0
170,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,4.625,2.875,1.75,3.5,0.25,0.0,0.0,0,0.0,0.0
171,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.75,1.875,0.5,0.0,4.875,3.5,3.0,1.0,1.875,0.125,0.0,0,0.0,0.0
172,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,4.25,4.25,2.0,3.5,0.25,0.0,0.0,0,0.0,0.0
173,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.375,0.875,0.25,0.0,3.5,2.375,2.375,0.0,0.75,0.0,0.0,0,0.0,0.0
233,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,8.25,4.0,3.5,1.5,0.0,0.0,0,0.0,0.0
234,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,3.75,0.5,0.0,10.5,4.5,1.0,1.5,0.0,0.0,0.0,0,0.0,0.0
235,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,3.75,3.5,3.0,2.0,0.0,0.0,0.0,0,0.0,0.0
236,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.5,2.0,6.25,0.25,0.0,15.0,8.0,4.0,6.0,1.5,0.0,0.0,0,0.0,0.0
237,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,0.0,0.0,3.25,1.75,2.75,2.5,0.5,0.0,0.0,0,0.0,0.0
238,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,0.0,0.0,3.5,4.5,1.75,2.25,1.75,0.5,0.0,0,0.0,0.0
239,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,0.0,0.0,2.5,2.0,2.75,2.25,1.0,0.25,0.0,0,0.0,0.0
240,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,6.5,0.5,0.0,6.5,5.0,2.5,4.25,3.0,0.25,0.0,0,0.0,0.0
241,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.0,3.75,6.75,2.0,4.0,0.0,0.0,0.0,0,0.0,0.0
242,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,4.75,0.0,0.0,8.0,7.75,3.75,3.5,1.75,0.0,0.0,0,0.0,0.0
243,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.5,4.25,1.75,2.5,0.0,0.0,0.0,0,0.0,0.0
244,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.25,4.5,1.0,0.0,10.75,2.5,1.25,1.25,1.25,0.25,0.0,0,0.0,0.0
245,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.25,2.0,2.75,2.0,0.5,0.0,0.0,0,0.0,0.0
