,P-11,m-10,P-8,m-7,M-6,m-6,P-5,A-4,d-5,P-4,M-3,m-3,M-2,m-2,P1,m2,M2,m3,A2,M3,P4,P5,m6,M6,m7,P8,M9,m10
477,0,0,0,0,0,0,1,0,0,5,2,9,23,3,4,3,29,10,0,1,1,1,0,0,0,0,0,0
478,0,0,0,0,0,0,1,0,0,2,1,6,8,0,6,0,4,4,0,2,1,0,0,0,1,0,0,0
479,0,0,0,0,0,0,0,0,0,0,1,7,14,1,2,0,8,3,0,1,2,1,0,0,0,0,0,0
480,0,0,0,0,0,0,0,0,0,1,0,3,8,1,4,0,2,3,0,0,1,1,0,0,0,0,0,0
481,0,0,0,0,1,0,0,0,0,0,0,10,9,0,5,0,7,7,0,1,0,1,1,0,0,0,0,0
482,0,0,0,0,0,0,0,0,0,1,1,5,12,0,1,0,11,3,0,0,2,1,0,0,0,0,0,0
483,0,0,0,0,0,0,0,0,0,2,2,4,8,0,6,0,9,6,0,2,0,1,0,0,0,0,0,0
484,0,0,0,0,0,0,0,0,0,0,0,3,8,0,1,0,5,3,0,0,0,1,0,0,0,0,0,0
485,0,0,0,0,0,0,0,0,0,0,1,2,5,0,3,0,8,4,0,0,0,1,0,0,0,0,0,0
486,0,0,0,0,0,0,0,0,0,0,0,2,5,0,4,0,5,2,0,0,0,0,0,0,0,0,0,0
487,0,0,0,0,0,0,0,0,0,0,1,1,11,2,8,1,10,3,0,1,0,1,0,0,0,0,0,0
488,0,0,0,0,0,0,0,0,0,0,2,1,5,1,6,0,7,1,0,0,1,0,0,0,0,0,0,0
489,0,0,0,0,0,0,0,0,0,1,1,3,9,1,2,0,8,4,0,1,0,1,0,0,1,0,0,0
490,0,0,0,0,0,0,0,0,0,1,0,4,9,0,3,0,7,3,0,0,2,0,0,0,0,0,0,0
491,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,5,4,0,3,0,0,0,0,0,0,0,0
492,0,0,0,1,0,0,0,0,0,0,0,3,2,0,4,0,2,4,0,0,0,1,0,0,0,0,0,0
493,0,0,0,0,0,0,0,0,0,2,0,1,5,0,1,0,4,4,0,3,0,0,0,0,0,0,0,0
494,0,0,0,0,0,0,0,0,0,2,0,5,7,0,1,0,1,2,0,1,1,1,0,0,0,0,0,0
495,0,0,0,0,0,1,0,0,0,2,0,3,1,0,4,0,4,6,0,0,0,0,1,0,0,0,0,0
496,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,3,2,0,0,1,0,0,0,0,0,0,0
497,0,0,0,0,0,0,0,0,0,2,0,2,3,0,4,0,2,3,0,1,1,0,0,0,0,0,0,0
498,0,0,0,1,0,0,0,0,0,1,0,5,11,0,1,0,3,2,0,1,3,2,0,0,0,0,0,0
499,0,0,0,0,0,1,0,0,0,0,0,1,4,0,1,0,2,2,0,1,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,3,5,0,1,0,0,0,0,0,0,0,0
501,0,0,0,0,0,0,0,0,0,1,0,0,6,1,0,0,3,4,0,1,0,0,0,0,0,0,0,0
502,0,0,0,0,0,0,0,0,0,0,0,1,4,0,3,0,3,1,0,1,0,0,0,0,0,0,0,0
503,0,0,0,0,0,1,0,0,0,0,0,3,8,0,1,0,7,2,0,0,1,0,1,0,0,0,0,0
505,0,0,0,0,0,0,2,0,0,5,0,6,15,0,6,0,15,8,0,3,2,0,0,0,0,0,0,0
506,0,0,0,1,0,1,0,0,0,1,2,5,16,1,6,0,15,5,0,1,2,1,1,0,0,0,0,0
507,0,0,0,0,0,0,0,0,0,4,1,4,6,0,4,0,8,8,0,0,0,0,1,1,0,0,0,0
508,0,0,0,0,1,0,0,0,0,1,2,5,6,0,5,0,8,6,0,0,1,1,0,0,0,0,0,0
509,0,0,0,0,0,0,1,0,0,2,0,10,32,1,4,1,25,8,0,3,1,2,0,0,0,0,0,0
510,0,0,1,0,0,0,1,0,0,2,0,9,17,0,5,0,14,7,0,1,3,1,0,0,0,0,0,0
511,0,0,0,0,1,0,1,0,0,2,0,3,24,5,2,4,23,6,0,0,1,2,0,0,0,0,0,0
512,0,0,0,0,0,0,0,0,0,1,0,6,17,0,4,0,8,5,0,2,0,1,0,1,0,0,0,0
513,0,0,0,0,0,0,0,0,0,2,1,5,9,0,3,0,11,6,0,1,1,0,0,0,0,0,0,0
514,0,0,0,0,0,0,1,0,0,0,1,3,9,0,1,0,7,3,0,2,0,1,0,0,0,0,0,0
515,0,0,0,0,0,0,0,0,0,1,1,3,9,0,2,0,6,2,0,1,1,1,0,0,0,0,0,0
516,0,0,0,0,0,0,0,0,0,1,0,2,5,0,2,0,7,1,0,0,1,0,0,0,0,0,0,0
517,0,0,0,0,0,0,0,0,0,1,3,4,23,1,4,0,23,2,1,0,1,2,0,0,0,0,0,0
518,0,0,0,0,0,0,1,0,0,2,0,3,6,0,2,0,7,2,0,0,0,1,1,0,0,0,0,0
519,0,0,0,0,0,0,0,0,0,2,1,3,26,0,9,0,30,4,0,1,2,0,0,0,0,0,0,0
520,0,0,0,0,0,0,1,0,0,2,2,3,14,3,3,2,11,4,0,2,0,1,0,0,0,0,0,0
521,0,0,0,0,0,0,0,0,0,0,3,3,14,1,7,0,14,1,0,0,0,2,0,0,0,0,0,0
522,0,0,0,0,0,0,1,0,0,0,1,5,7,0,2,0,7,2,0,0,0,1,1,0,0,0,0,0
523,0,0,0,0,0,0,0,0,0,2,1,3,18,0,7,0,24,5,0,0,1,0,0,0,0,0,0,0
524,0,0,0,0,0,0,1,0,0,2,1,9,13,1,5,0,9,7,0,0,2,1,0,0,0,0,0,0
525,0,0,0,0,0,0,0,0,0,0,2,3,13,1,5,0,11,1,0,1,1,1,0,0,0,0,0,0
526,0,0,0,0,0,0,0,0,0,0,1,2,7,0,4,0,5,0,0,0,0,1,0,0,0,0,0,0
527,0,0,0,0,0,0,0,0,0,2,2,4,13,0,7,0,15,4,0,0,1,2,0,0,0,0,0,0
528,0,0,0,0,0,0,1,0,0,2,0,6,18,1,4,0,13,6,0,0,0,2,0,0,0,0,0,0
529,0,0,0,0,0,0,1,0,0,1,1,5,12,0,1,1,16,5,0,1,1,0,0,0,0,0,0,0
530,0,0,0,0,0,0,1,0,0,1,0,5,13,1,2,0,4,2,0,1,0,3,0,0,0,0,0,0
531,0,0,0,0,1,0,0,0,0,1,0,3,6,1,0,0,6,4,0,1,0,1,1,0,0,0,0,0
532,0,0,0,0,0,0,0,0,0,1,0,2,2,0,7,0,0,1,0,0,2,1,0,0,0,0,0,0
533,0,1,0,0,1,1,0,0,0,0,0,0,2,0,3,0,1,4,0,0,1,0,0,0,0,1,0,0
534,0,0,0,0,0,2,0,0,0,3,0,3,8,1,3,1,9,8,0,1,1,0,1,0,0,0,0,0
535,0,0,0,0,0,0,0,0,0,1,1,1,7,0,2,0,8,1,0,0,0,0,0,0,0,0,0,0
