,median_duration
0,1.75
1,1.625
2,2.0
3,1.5
4,2.0
5,2.0
6,1.75
7,1.125
8,1.0
9,1.125
10,1.25
11,1.75
12,2.0
13,1.125
14,1.875
15,1.125
16,1.875
17,1.125
18,1.375
19,1.0
20,1.5
21,1.0
22,0.5
23,1.5
24,1.0
25,1.0
26,1.0
27,1.0
28,2.0
29,1.75
30,1.875
31,1.75
32,2.0
33,1.75
34,2.0
35,1.75
36,1.0
37,1.25
38,1.0
39,1.0
40,1.0
41,1.125
42,2.875
43,2.0
44,2.0
45,1.0
46,2.0
47,2.0
48,2.0
49,1.75
50,1.75
51,1.25
52,1.0
53,1.25
54,1.25
55,1.5
56,1.75
57,1.5
58,1.75
59,1.25
60,1.0
61,1.0
62,1.0
63,1.0
64,1.25
65,1.0
66,3.5
67,1.75
68,2.75
69,1.5
70,1.0
71,1.0
72,1.5
73,2.75
74,0.5
75,0.5
76,0.5
77,0.625
78,1.0
79,0.75
80,1.0
81,1.5
82,1.25
83,1.0
84,1.25
85,1.0
86,1.0
88,2.0
89,1.0
90,2.0
91,1.5
92,1.25
93,1.0
94,1.25
95,1.0
96,1.75
98,1.0
99,2.0
100,1.0
101,1.0
103,1.25
104,2.0
105,1.5
106,2.0
107,1.0
108,1.0
109,1.0
110,1.25
111,1.0
112,1.0
113,1.0
114,1.0
115,1.0
116,1.25
117,1.125
118,1.25
119,1.125
120,2.0
121,1.5
122,2.0
123,1.0
124,1.0
125,1.0
126,1.0
127,1.75
128,2.0
129,1.25
130,1.25
131,1.0
132,1.0
133,1.0
134,0.75
135,0.5
136,0.5
137,0.5
138,1.0
139,0.5
140,0.5
141,0.5
142,0.5
143,0.5
144,0.5
145,0.5
146,0.4375
147,0.5
148,0.75
149,0.5
150,1.0
151,1.0
152,0.5
153,0.625
154,1.0
155,0.5
156,0.5625
157,0.5
158,0.5625
159,0.75
160,0.5
161,0.5
162,0.625
163,0.5
164,0.875
165,0.5
166,1.75
167,1.75
168,2.0
169,1.625
170,1.25
171,0.75
172,1.0
173,0.75
194,2.0
195,1.0
196,2.0
197,1.75
198,1.375
199,1.5
200,1.0
201,1.0
202,1.0
203,1.0
204,1.5
205,1.0
206,0.5
207,1.0
208,0.75
209,0.5
210,1.5
211,0.75
212,1.0
213,1.0
214,1.0
215,1.0
216,0.5
217,1.0
218,0.5
219,0.5
220,1.0
221,0.5
222,0.5
223,0.5
224,0.5
225,0.75
226,1.0
227,1.0
228,0.5
229,1.0
230,0.5
231,1.0
232,1.0
233,2.0
234,1.75
235,1.5
236,1.0
237,1.5
238,1.5
239,1.25
240,1.5
241,1.75
242,1.0
243,1.5
244,1.75
245,1.25
246,2.0
247,1.0
248,1.75
249,1.0
250,1.0
251,1.0
252,1.0
253,0.75
254,1.0
255,1.0
256,1.0
257,0.625
258,0.5
259,0.5
260,0.5
261,0.5
262,1.0
263,1.625
264,1.625
265,1.625
266,1.625
267,1.75
268,1.75
269,1.75
270,1.75
271,1.75
272,1.75
273,1.75
274,1.625
275,0.75
276,0.75
277,1.0
278,1.0
279,1.0
280,0.5
281,0.5
282,0.5
283,0.5
284,0.5
285,1.0
286,0.5
287,1.0
288,1.0
289,0.5
290,1.0
291,1.0
292,0.5
293,0.5
294,1.0
295,0.5
296,0.5
297,0.5
298,0.5
299,1.0
300,1.0
301,1.0
302,0.5
303,1.0
304,0.5
305,1.0
306,1.0
307,1.0
308,0.75
309,1.0
310,1.0
311,1.0
312,1.0
313,1.0
314,0.5
315,1.0
316,0.75
317,0.5
318,0.5
319,1.0
320,0.75
321,0.5
322,1.0
323,0.5
324,1.0
325,1.0
326,1.0
327,0.75
328,0.5
329,1.0
330,0.5
331,1.0
333,0.75
334,0.5
335,1.0
336,0.5
337,0.75
338,1.0
339,2.0
340,2.0
341,2.0
342,2.0
343,2.0
344,2.0
345,2.0
346,2.0
347,2.0
348,1.625
349,1.5
350,1.75
351,1.75
352,1.75
353,1.125
354,1.75
355,2.0
356,2.0
357,2.0
358,2.0
361,2.0
362,2.0
363,2.0
364,2.0
365,2.0
366,1.25
367,2.0
368,1.25
369,2.0
370,1.75
371,1.25
372,2.0
373,0.5
374,0.875
375,0.5
376,0.5
377,1.0
378,0.75
379,0.5
380,1.5
381,0.5
382,1.0
383,1.0
384,0.5
385,1.0
386,1.0
387,1.5
388,2.0
389,1.75
390,2.0
391,1.5
392,1.625
393,1.5
394,1.625
395,2.0
396,1.75
397,2.0
398,1.25
399,1.75
400,1.75
401,1.0
402,1.0
403,1.0
404,1.25
405,1.0
406,1.0
407,1.0
408,1.0
409,1.0
410,0.5
