,median,Q1,Q3,lower fence,upper fence,outliers
478,2.0,1.0,2.0,1.0,2.0,1
479,1.625,1.0,2.0,0.75,3.0,0
480,1.0,1.0,1.75,0.5,2.0,1
481,1.0,1.0,2.0,0.75,2.0,1
482,1.0,1.0,2.625,1.0,3.0,2
483,2.0,1.0,3.25,1.0,4.5,1
484,1.0,1.0,2.0,0.5,3.0,0
485,1.0,1.0,2.0,1.0,3.5,0
486,1.0,1.0,1.5,0.5,2.0,1
487,1.5,1.0,2.625,1.0,4.5,1
488,1.0,1.0,2.25,0.5,3.0,1
489,1.0,1.0,1.0,1.0,1.0,4
490,1.0,1.0,1.5,0.5,2.0,1
491,1.0,1.0,2.25,1.0,2.5,1
492,1.0,0.875,1.5,0.5,2.0,1
493,1.0,1.0,2.0,1.0,2.5,1
494,0.875,0.5,1.0,0.25,1.5,0
495,0.75,0.5,0.9375,0.25,1.5,1
496,1.0,0.5,1.0,0.5,1.5,0
497,0.9375,0.71875,1.0,0.625,1.0,2
498,0.5,0.5,1.375,0.25,2.25,0
499,1.0,1.0,1.0,1.0,1.0,2
500,1.0,1.0,1.5,0.5,2.0,1
501,1.0,1.0,2.0,1.0,2.5,1
502,0.875,0.5,1.0,0.25,1.5,0
503,0.75,0.5,1.0,0.25,1.0,2
505,1.5,1.0,2.5,0.5,2.75,2
506,1.625,1.0,3.8125,1.0,5.75,1
507,1.0,1.0,2.375,0.75,3.0,1
508,1.75,1.0,2.1875,1.0,3.0,1
509,1.875,1.5625,2.875,1.0,3.0,2
510,1.75,1.0,3.875,0.5,4.5,2
511,1.25,1.0,2.0,1.0,2.0,2
512,0.875,0.5,1.0,0.25,1.0,2
513,2.0,1.0,3.25,1.0,4.0,1
514,1.0,1.0,2.25,0.5,2.5,1
515,1.0,1.0,1.625,1.0,2.0,1
516,1.0,1.0,2.0,1.0,2.0,1
517,1.0,1.0,1.375,1.0,1.5,2
518,0.875,0.5,1.0,0.25,1.0,2
519,1.0,1.0,1.375,1.0,1.5,2
520,1.0,0.5625,3.0625,0.25,6.0,1
521,1.0,1.0,1.875,1.0,3.0,1
522,0.875,0.5,1.0,0.25,1.0,2
523,1.0,1.0,1.875,1.0,3.0,1
524,1.0,0.625,3.0625,0.5,6.0,1
525,1.0,1.0,2.25,1.0,4.0,1
526,0.75,0.5,1.0,0.5,1.0,2
527,1.0,1.0,1.875,1.0,2.0,2
528,1.0,0.5,3.1875,0.5,7.0,0
529,1.0,1.0,2.875,0.25,5.0,1
530,1.0,0.5,1.375,0.25,1.5,2
531,1.0,1.0,1.375,0.75,1.5,2
532,1.0,0.375,1.0,0.25,1.25,0
533,0.625,0.5,1.0,0.5,1.25,0
534,0.5,0.5,1.1875,0.25,1.5,1
535,1.0,1.0,1.625,1.0,1.75,1
536,1.0,0.75,1.125,0.25,1.25,1
537,1.0,1.0,1.0,1.0,1.0,1
538,1.0,0.75,1.125,0.25,1.5,0
539,1.0,1.0,1.25,1.0,1.5,2
540,1.0,0.75,1.25,0.5,1.75,0
541,1.0,1.0,1.0,1.0,1.0,2
542,1.0,0.5,1.0,0.25,1.5,0
543,0.5,0.5,1.0,0.25,1.0,0
545,0.75,0.5,2.75,0.5,4.5,1
546,2.0,1.0,4.375,1.0,6.25,1
547,1.0,1.0,1.25,1.0,1.5,1
548,1.0,0.5,1.0,0.5,1.0,1
549,1.0,1.0,1.25,1.0,1.5,1
550,0.5,0.5,1.0,0.5,1.0,1
551,1.0,0.5,10.0625,0.5,17.0,0
552,1.0,1.0,1.5,0.25,1.5,2
554,1.0,0.875,1.125,0.5,1.5,1
555,1.0,1.0,1.0,1.0,1.0,1
556,1.0,1.0,3.5,0.5,5.5,0
557,1.5,1.0,3.5,0.5,4.0,1
558,2.0,1.875,2.8125,1.0,2.8125,2
559,2.0,1.625,2.0,1.5,2.0,4
560,1.0,1.0,1.5,0.5,2.0,1
561,1.5,1.0,2.0,1.0,3.0,0
562,1.0,1.0,2.0,0.5,3.0,0
563,1.0,1.0,2.0,1.0,2.0,0
564,2.0,1.125,2.0,0.5,3.0,0
565,1.25,1.0,1.875,1.0,3.0,0
566,1.0,1.0,2.0,1.0,3.0,1
567,1.0,1.0,2.5,1.0,3.0,1
568,1.0,1.0,2.75,1.0,4.0,0
569,1.0,1.0,2.0,0.5,3.0,1
570,1.5,1.0,2.0,0.5,3.0,0
571,1.0,1.0,2.0,1.0,2.0,0
572,1.0,1.0,1.75,0.5,2.0,1
573,1.0,1.0,1.625,1.0,2.0,1
574,1.0,1.0,1.5,0.5,2.0,0
575,1.0,1.0,1.0,1.0,1.0,1
576,1.0,0.5,1.125,0.5,2.0,0
577,1.0,0.5,1.0,0.5,1.0,1
578,1.25,1.0,2.25,0.5,4.0,0
579,1.0,1.0,1.375,1.0,1.5,2
580,0.75,0.5,1.0,0.5,1.0,2
581,1.0,1.0,1.0,1.0,1.0,2
582,0.75,0.5,1.0,0.5,1.5,1
583,0.75,0.5,1.0,0.5,1.0,1
584,1.0,0.5,1.75,0.5,3.5,1
585,3.5,2.0,5.75,1.25,7.5,1
586,1.5,1.25,4.5,0.5,5.25,1
587,1.5,1.0,1.875,1.0,3.0,1
588,2.0,1.0,2.5,1.0,4.0,0
589,1.0,1.0,2.0,0.5,3.5,0
590,1.0,1.0,2.0,0.5,3.0,0
591,1.0,1.0,2.0,0.5,3.25,0
592,1.0,1.0,2.5,0.5,3.0,0
593,1.0,1.0,1.0,1.0,1.0,3
594,0.75,0.5,2.0,0.25,2.75,1
595,1.0,0.875,1.5,0.5,1.5,2
596,1.0,1.0,2.0,0.5,3.5,0
597,1.0,1.0,2.0,0.5,3.0,1
598,1.0,0.5,1.75,0.5,3.0,0
599,1.5,0.75,2.75,0.25,3.5,1
600,1.25,1.0,1.875,1.0,2.0,2
601,1.0,1.0,1.75,1.0,2.0,1
602,1.0,0.75,1.5,0.5,2.0,1
603,1.0,1.0,1.0,1.0,1.0,1
604,1.0,1.0,1.5,0.5,2.0,0
605,1.0,1.0,1.25,1.0,1.5,2
606,1.0,1.0,1.25,1.0,1.5,2
607,1.0,1.0,1.0,1.0,1.0,2
608,1.0,0.5,1.0,0.25,1.5,0
609,1.0,0.5,1.0,0.5,1.0,0
611,0.75,0.5,2.75,0.5,4.5,1
612,2.0,1.0,4.25,1.0,6.0,1
613,1.0,1.0,1.0,1.0,1.0,1
614,1.0,0.5,1.0,0.5,1.0,1
615,1.0,1.0,1.0,1.0,1.0,1
616,0.5,0.5,1.0,0.5,1.0,1
617,1.0,0.5,10.0625,0.5,17.0,0
618,1.0,1.0,1.375,1.0,1.5,2
620,1.0,0.875,1.25,0.5,1.25,2
621,1.0,1.0,1.0,1.0,1.0,1
622,1.0,1.0,3.5,0.5,5.5,1
623,3.5,2.0,5.875,1.5,7.75,1
624,1.5,1.25,4.625,0.5,5.5,1
625,1.5,1.0,1.875,1.0,3.0,1
626,2.0,1.0,2.5,1.0,4.0,0
627,1.0,0.5,1.0,0.5,1.0,2
628,1.0,1.0,2.0,0.5,3.0,0
629,1.0,1.0,2.0,0.5,3.5,0
630,1.0,1.0,2.5,0.5,3.0,0
631,1.0,1.0,1.0,1.0,1.0,3
632,0.75,0.5,2.0,0.25,2.75,1
633,1.0,0.875,1.5,0.5,1.5,2
634,1.0,1.0,2.0,0.5,3.5,0
635,1.0,1.0,2.0,0.5,3.0,1
636,1.0,0.5,1.75,0.5,3.0,0
637,1.75,0.75,2.75,0.25,3.5,1
638,1.25,1.0,1.875,1.0,2.0,2
639,3.5,2.125,6.0,1.75,8.0,1
640,1.75,1.25,5.0,1.0,5.750000000000001,1
641,2.5,1.1875,3.375,0.9999999999999999,5.0,0
642,1.0,1.0,2.0,0.75,3.0,1
643,1.0,1.0,2.0,0.5,2.75,1
644,1.625,1.1875,2.0,0.75,3.0,0
645,1.25,1.0,1.9375,0.5,2.5,0
646,1.0,1.0,2.0,0.5,2.0,1
647,1.0,1.0,1.875,0.5,2.75,0
648,1.0,1.0,1.75,0.25,2.0,1
649,1.0,1.0,1.75,0.75,2.75,0
650,1.75,1.0,2.5,1.0,2.5,2
651,1.0,1.0,1.0,1.0,1.0,2
652,1.0,1.0,1.0,1.0,1.0,2
653,1.0,1.0,1.0,1.0,1.0,2
654,0.5,0.5,1.0,0.25,1.0,1
655,0.625,0.5,1.0,0.5,1.5,0
656,0.5,0.5,1.125,0.25,1.5,2
657,1.0,1.0,1.5625,1.0,1.75,1
658,1.0,0.9375,1.0625,0.75,1.25,2
659,1.0,0.75,1.0,0.75,1.0,2
660,1.0,0.5,1.0,0.5,1.25,1
661,1.0,1.0,1.0,1.0,1.0,1
662,0.5,0.5,1.3125,0.25,1.75,2
665,3.5,2.0,5.75,1.5,7.5,1
666,1.5,1.0,3.5,0.5,4.5,1
667,1.75,1.375,3.125,0.5,4.5,0
668,1.0,1.0,1.0,1.0,1.0,4
669,1.0,0.5,1.0,0.5,1.0,2
670,1.5,0.875,2.0,0.5,3.0,0
671,1.0,1.0,1.75,0.5,2.5,0
672,1.0,0.5,1.5,0.5,2.0,1
673,1.0,1.0,1.0,1.0,1.0,4
674,1.0,1.0,1.25,1.0,1.25,3
675,1.0,1.0,1.0,1.0,1.0,4
676,2.0,1.0,2.0,0.5,2.0,2
677,3.0,2.25,5.625,1.5,8.0,1
678,1.5,1.25,5.625,1.0,12.0,0
679,2.25,1.375,3.375,1.0,5.5,0
680,1.0,1.0,2.0,0.75,3.0,1
681,1.0,1.0,1.5,0.5,1.5,2
682,2.0,1.375,2.5,1.0,3.0,0
683,1.25,1.0,1.875,0.5,2.5,0
684,1.25,1.0,2.0,0.25,2.0,1
685,1.0,0.8125,1.375,0.5,2.0,1
686,1.0,0.75,1.5,0.25,2.0,1
687,1.0,1.0,1.0,1.0,1.0,3
688,1.25,1.0,3.125,1.0,3.5,2
689,1.0,1.0,1.0,1.0,1.0,2
690,0.75,0.5,1.0,0.5,1.0,1
691,1.0,1.0,1.375,1.0,1.5,2
692,1.0,0.5,1.375,0.5,2.0,1
693,2.0,1.625,2.0,1.5,2.0,4
694,1.25,1.0,2.0,0.5,2.0,2
695,1.125,1.0,2.375,1.0,3.0,1
696,1.0,1.0,1.75,0.5,2.25,1
697,1.0,1.0,1.4375,0.5,2.0,1
698,1.0,0.75,1.5,0.5,2.0,1
699,1.0,1.0,2.0,0.5,3.0,0
700,1.0,1.0,1.5,0.5,2.0,1
701,1.0,1.0,1.8125,0.5,3.0,0
702,1.125,1.0,2.0,0.5,2.0,3
703,0.75,0.5,1.0,0.5,1.0,0
704,1.0,0.75,1.0,0.5,1.0,1
705,0.75,0.4375,1.0625,0.25,1.75,0
706,0.5,0.5,0.5,0.5,0.5,3
707,0.75,0.5,1.0,0.5,1.0,0
708,0.5,0.5,1.0,0.5,1.0,0
709,1.0,0.5,1.0,0.5,1.0,1
711,1.0,0.875,1.125,0.5,1.5,0
712,1.0,0.5,1.0,0.5,1.5,0
713,0.75,0.5,1.0,0.5,1.0,0
714,0.5,0.5,0.5,0.5,0.5,1
715,1.0,0.5,1.0,0.5,1.5,0
716,1.0,0.5,1.0,0.5,1.0,0
717,1.0,0.625,1.0,0.5,1.0,1
721,1.0,1.0,1.0,1.0,1.0,1
722,1.0,1.0,2.0,1.0,2.0,1
723,1.0,1.0,1.0,1.0,1.0,1
724,0.75,0.5,1.0,0.5,1.0,0
725,1.0,1.0,1.0,1.0,1.0,1
726,1.0,0.875,1.0,0.875,1.0,2
727,1.0,1.0,1.5,1.0,2.0,0
728,1.0,1.0,1.0,1.0,1.0,1
729,1.0,1.0,1.0,1.0,1.0,1
730,1.0,0.75,1.0,0.5,1.0,0
731,1.0,1.0,1.0,1.0,1.0,1
732,1.0,1.0,1.0,1.0,1.0,1
733,1.0,1.0,1.0,1.0,1.0,1
734,1.0,1.0,1.0,1.0,1.0,0
735,1.0,0.875,1.25,0.5,1.25,2
736,1.0,1.0,2.0,1.0,3.0,0
738,,,,,,0
739,,,,,,0
740,,,,,,0
741,,,,,,0
742,,,,,,0
743,,,,,,0
744,,,,,,0
745,,,,,,0
746,,,,,,0
747,,,,,,0
748,,,,,,0
751,1.0,1.0,1.0,1.0,1.0,2
752,1.0,0.625,1.375,0.5,1.75,1
753,1.0,1.0,1.0,1.0,1.0,3
754,1.0,1.0,1.5,0.5,1.5,2
761,1.0,0.5,1.0,0.5,1.5,0
762,0.5,0.5,0.75,0.25,1.0,0
763,0.75,0.5,1.0,0.5,1.0,0
764,0.75,0.5,1.0,0.5,1.5,0
765,1.0,0.75,1.0,0.5,1.0,0
766,0.75,0.5,1.0,0.5,1.5,0
767,0.75,0.5,1.0,0.25,1.5,0
768,0.5,0.5,0.5,0.5,0.5,2
769,0.5,0.5,0.5,0.5,0.5,5
770,0.5,0.5,1.0,0.5,1.5,0
771,1.0,1.0,1.0,1.0,1.0,1
772,1.0,0.75,1.0,0.5,1.0,1
773,1.0,0.75,1.0,0.5,1.0,0
774,0.75,0.5,1.125,0.5,1.5,0
775,0.5,0.5,1.0,0.25,1.5,0
776,1.0,0.5,1.8125,0.5,2.0,0
777,1.0,1.0,1.0,1.0,1.0,0
778,1.0,1.0,1.0,1.0,1.0,1
779,1.0,1.0,1.0,1.0,1.0,0
780,1.5,0.875,2.0,0.5,3.0,0
781,0.75,0.5,1.5,0.5,2.25,0
782,1.0,1.0,1.75,0.5,2.5,0
783,1.0,0.875,1.125,0.5,1.5,0
784,1.0,1.0,1.0,1.0,1.0,3
785,1.0,1.0,1.0,1.0,1.0,2
786,1.0,1.0,2.0,0.5,2.0,1
