,median,Q1,Q3,lower fence,upper fence,outliers
0,5.0,4.25,6.0,3.0,6.0,2
1,3.5,3.0,6.25,2.0,7.0,2
2,4.0,3.0,5.0,3.0,5.0,2
3,3.5,2.0,6.75,1.0,13.0,0
4,5.0,4.25,6.75,3.0,7.0,2
5,5.0,3.0,5.0,1.0,5.0,2
6,5.0,3.25,5.75,1.0,7.0,1
7,4.5,3.0,5.0,3.0,7.0,1
8,3.0,1.25,4.5,1.0,7.0,0
9,4.5,3.25,5.0,2.0,5.0,1
10,4.0,3.0,4.75,1.0,5.0,1
11,5.0,3.0,5.75,2.0,6.0,2
12,4.5,3.25,5.0,1.0,7.0,1
13,4.0,3.0,5.0,1.0,5.0,1
14,5.0,4.0,6.75,3.0,9.0,1
15,4.0,3.0,5.75,2.0,7.0,1
16,5.0,4.0,6.0,3.0,9.0,1
17,3.5,2.25,4.75,1.0,5.0,1
18,4.0,3.25,5.0,2.0,7.0,1
19,3.0,2.0,4.0,1.0,4.0,3
20,6.0,3.0,10.0,2.0,14.0,0
21,3.0,2.5,5.0,2.0,6.0,1
22,3.0,2.0,3.5,1.0,4.0,1
23,4.0,2.0,9.5,2.0,12.0,1
24,3.0,3.0,9.5,2.0,14.0,0
25,3.0,3.0,4.5,2.0,5.0,0
26,3.0,1.5,6.0,1.0,8.0,1
27,4.0,2.5,8.5,2.0,10.0,1
28,5.0,4.25,8.25,3.0,11.0,1
29,4.0,3.0,5.5,2.0,6.0,2
30,4.0,3.25,5.0,3.0,5.0,2
31,4.0,3.0,6.25,2.0,7.0,2
32,5.5,5.0,7.75,3.0,8.0,2
33,3.5,3.0,5.0,2.0,5.0,2
34,5.0,4.25,6.0,3.0,6.0,2
35,5.5,3.0,8.25,1.0,13.0,0
36,3.0,2.0,4.0,1.0,5.0,1
37,4.0,2.5,5.0,2.0,6.0,1
38,3.5,2.25,4.0,1.0,5.0,1
39,4.0,2.5,4.0,1.0,6.0,1
40,3.5,3.0,4.0,3.0,5.0,3
41,3.5,3.0,5.0,1.0,5.0,1
42,10.5,7.0,13.25,5.0,14.0,1
43,7.0,6.0,10.5,1.0,13.0,1
44,7.5,5.0,13.5,1.0,26.0,0
45,3.0,2.0,5.0,1.0,5.0,2
46,7.0,3.5,11.0,2.0,14.0,1
47,8.5,7.0,10.25,7.0,11.0,2
48,4.0,3.0,7.25,2.0,10.0,1
49,4.0,2.25,4.75,1.0,5.0,2
50,4.0,3.0,4.75,1.0,6.0,1
51,4.0,2.25,4.0,1.0,6.0,1
52,3.0,1.0,4.0,1.0,4.0,1
53,3.0,1.5,4.0,1.0,4.0,1
54,2.5,2.0,3.75,1.0,5.0,1
55,4.0,3.0,4.0,2.0,4.0,2
56,8.5,7.0,10.75,4.0,11.0,2
57,5.5,4.0,7.5,2.0,8.0,2
58,7.0,6.25,8.5,4.0,9.0,2
59,5.0,2.0,9.75,1.0,16.0,0
60,4.0,3.0,6.25,2.0,11.0,0
61,4.5,4.0,6.0,3.0,8.0,1
62,4.0,2.5,5.5,2.0,8.0,1
63,5.0,4.0,6.0,3.0,6.0,1
64,4.0,3.0,8.0,2.0,13.0,1
65,4.0,3.25,5.75,1.0,6.0,2
66,11.0,7.5,17.0,5.0,23.0,1
67,5.0,5.0,13.5,2.0,17.0,1
68,11.0,7.0,12.0,2.0,13.0,1
69,5.0,5.0,9.5,1.0,12.0,0
70,3.0,3.0,7.5,1.0,11.0,0
71,3.0,2.0,12.5,1.0,15.0,0
72,4.0,3.0,9.5,2.0,13.0,1
73,9.0,5.5,11.0,4.0,17.0,0
74,2.0,1.0,6.0,1.0,10.0,0
75,2.0,1.5,3.5,1.0,6.0,0
76,2.0,1.0,4.0,1.0,6.0,0
77,2.0,1.0,2.75,1.0,3.0,1
78,2.0,2.0,3.0,1.0,3.0,1
79,2.0,1.25,3.5,1.0,6.0,1
80,2.0,1.25,2.0,1.0,3.0,1
81,2.0,1.0,3.0,1.0,6.0,0
82,1.5,1.0,2.75,1.0,3.0,1
83,2.0,1.25,2.75,1.0,4.0,1
84,2.0,1.25,3.0,1.0,4.0,0
85,2.0,2.0,2.25,2.0,2.25,9
86,2.0,2.0,2.0,2.0,2.0,3
88,8.5,6.0,12.75,4.0,20.0,1
89,4.5,3.25,5.0,2.0,5.0,1
90,2.5,2.0,5.75,1.0,6.0,1
91,2.5,2.0,3.0,1.0,4.0,1
92,2.0,2.0,3.75,1.0,6.0,0
93,2.0,2.0,3.5,1.0,5.0,1
94,2.0,1.25,3.75,1.0,6.0,0
95,2.0,1.0,4.0,1.0,7.0,0
96,3.0,2.0,4.0,1.0,6.0,1
98,2.0,1.5,4.5,1.0,9.0,1
99,3.0,1.25,4.75,1.0,6.0,1
100,2.0,2.0,4.0,1.0,7.0,0
101,2.0,2.0,3.75,1.0,6.0,0
103,2.0,1.0,4.5,1.0,8.0,1
104,4.0,2.0,5.0,1.0,5.0,2
105,2.5,2.0,4.75,1.0,5.0,2
106,4.0,2.25,4.0,1.0,6.0,1
107,2.0,2.0,3.0,1.0,4.0,1
108,2.0,2.0,3.0,1.0,4.0,1
109,2.0,2.0,3.0,1.0,4.0,1
110,2.5,2.0,3.0,1.0,4.0,1
111,2.0,2.0,3.0,1.0,4.0,1
112,2.0,2.0,4.0,1.0,5.0,0
113,2.0,1.0,3.0,1.0,6.0,0
114,2.0,2.0,3.0,1.0,3.0,1
115,2.0,1.0,2.0,1.0,3.0,3
116,2.5,2.0,3.0,1.0,4.0,1
117,2.5,2.0,3.0,1.0,4.0,1
118,2.5,1.25,3.0,1.0,3.0,1
119,2.5,2.0,3.0,1.0,4.0,1
120,5.5,4.0,7.0,3.0,7.0,2
121,4.0,3.0,4.75,2.0,5.0,2
122,4.0,3.25,5.0,2.0,7.0,1
123,3.5,2.0,4.0,1.0,5.0,1
124,2.0,1.25,2.75,1.0,4.0,1
125,4.0,3.0,5.0,3.0,5.0,2
126,3.0,2.0,5.0,1.0,5.0,2
127,4.0,3.0,4.75,1.0,5.0,2
128,4.5,2.5,5.75,1.0,10.0,0
129,3.0,2.0,4.75,1.0,5.0,1
130,3.5,2.0,4.0,2.0,6.0,1
131,2.0,2.0,5.0,1.0,9.0,0
132,2.0,2.0,4.0,2.0,6.0,0
133,2.0,1.0,2.0,1.0,3.0,3
134,2.0,1.25,2.75,1.0,5.0,1
135,2.0,2.0,3.75,1.0,5.0,0
136,2.0,1.25,2.75,1.0,4.0,0
137,2.0,1.0,2.75,1.0,4.0,1
138,3.0,2.0,4.5,1.0,5.0,2
139,2.0,1.0,2.75,1.0,5.0,0
140,2.0,1.25,2.0,1.0,3.0,1
141,2.0,1.25,2.0,1.0,2.0,2
142,1.5,1.0,2.0,1.0,2.0,2
143,2.0,2.0,3.0,1.0,4.0,1
144,2.0,1.0,2.0,1.0,3.0,1
145,2.0,1.25,2.0,1.0,2.0,2
146,2.0,1.0,2.75,1.0,4.0,1
147,1.0,1.0,2.0,1.0,3.0,2
148,2.0,2.0,3.0,1.0,4.0,1
149,2.0,1.25,3.5,1.0,6.0,0
150,2.0,1.25,3.0,1.0,3.0,2
151,2.0,2.0,3.75,1.0,5.0,0
152,1.5,1.0,2.0,1.0,3.0,1
153,2.0,1.0,2.75,1.0,5.0,1
154,2.0,2.0,2.0,2.0,2.0,4
155,1.0,1.0,2.5,1.0,3.0,2
156,2.0,1.25,2.75,1.0,3.0,0
157,1.5,1.0,2.0,1.0,2.0,2
158,1.5,1.0,2.0,1.0,3.0,0
159,3.0,1.25,3.0,1.0,5.0,0
160,2.0,1.0,3.0,1.0,6.0,0
161,2.0,1.25,2.75,1.0,5.0,0
162,2.5,1.25,3.0,1.0,5.0,0
163,1.0,1.0,2.0,1.0,3.0,1
164,2.0,1.25,2.75,1.0,4.0,1
165,2.0,1.25,2.0,1.0,2.0,2
166,5.0,3.0,9.75,2.0,13.0,1
167,3.5,2.0,5.75,2.0,11.0,1
168,4.0,4.0,7.25,2.0,8.0,2
169,4.0,2.25,6.25,1.0,9.0,0
170,3.5,1.0,6.0,1.0,10.0,0
171,2.0,2.0,3.0,1.0,4.0,1
172,3.0,2.0,3.75,1.0,6.0,1
173,2.0,2.0,3.75,1.0,5.0,1
194,6.0,5.0,8.0,3.0,8.0,1
195,3.5,3.0,5.75,1.0,8.0,1
196,8.0,4.0,9.0,4.0,10.0,1
197,7.0,3.5,7.5,2.0,8.0,1
198,4.0,3.25,7.5,2.0,8.0,2
199,6.0,3.5,6.0,2.0,6.0,0
200,4.0,4.0,6.0,3.0,6.0,1
201,3.0,1.0,4.0,1.0,6.0,0
202,4.0,3.0,4.5,3.0,6.0,1
203,4.0,3.0,4.0,2.0,4.0,1
204,5.0,4.5,8.5,4.0,10.0,1
205,3.0,2.5,4.0,2.0,6.0,0
206,1.0,1.0,2.0,1.0,3.0,0
207,2.0,1.0,3.5,1.0,4.0,0
208,2.0,1.75,2.0,1.75,2.0,3
209,1.0,1.0,1.0,1.0,1.0,1
210,3.0,1.0,4.0,1.0,4.0,0
211,1.0,1.0,2.0,1.0,2.0,0
212,2.0,1.25,2.0,1.0,3.0,1
213,1.5,1.0,2.0,1.0,2.0,0
214,1.5,1.0,2.0,1.0,2.0,1
215,1.0,1.0,2.0,1.0,2.0,0
216,1.0,1.0,2.0,1.0,3.0,0
217,2.0,1.75,2.0,1.75,2.0,3
218,1.0,1.0,1.5,1.0,2.0,0
219,2.0,1.0,2.0,1.0,2.0,0
220,2.0,1.75,2.0,1.75,2.0,2
221,1.0,1.0,2.0,1.0,2.0,0
222,1.0,1.0,1.0,1.0,1.0,1
223,1.0,1.0,2.0,1.0,2.0,0
224,1.0,1.0,1.0,1.0,1.0,1
225,1.5,1.0,2.25,1.0,3.0,1
226,2.0,1.0,2.0,1.0,2.0,1
227,1.0,1.0,2.0,1.0,2.0,0
228,1.0,1.0,2.0,1.0,3.0,0
229,2.0,1.5,2.0,1.0,2.0,0
230,1.0,1.0,1.0,1.0,1.0,1
231,1.0,1.0,2.0,1.0,3.0,0
232,2.0,1.5,3.0,1.0,5.0,0
233,3.5,2.25,5.5,1.0,6.0,1
234,3.5,2.25,4.75,1.0,6.0,1
235,3.0,2.0,3.75,1.0,4.0,0
236,2.0,1.0,3.0,1.0,6.0,2
237,2.5,2.0,3.75,1.0,6.0,0
238,4.0,3.0,4.0,2.0,5.0,2
239,3.0,2.0,4.0,1.0,7.0,0
240,3.0,2.0,5.0,1.0,9.0,0
241,3.5,2.0,4.0,1.0,6.0,0
242,2.0,1.0,4.0,1.0,8.0,0
243,2.0,2.0,3.75,2.0,6.0,0
244,4.0,3.0,4.75,1.0,5.0,2
245,2.5,2.0,3.75,1.0,4.0,1
246,3.5,3.0,4.75,1.0,7.0,0
247,2.0,1.5,3.5,1.0,4.0,0
248,3.5,2.0,4.75,1.0,8.0,0
249,1.0,1.0,2.0,1.0,2.0,0
250,1.0,1.0,2.0,1.0,2.0,1
251,1.5,1.0,2.0,1.0,2.0,0
252,1.5,1.0,2.0,1.0,3.0,3
253,1.5,1.0,2.0,1.0,2.0,0
254,1.5,1.0,2.0,1.0,2.0,1
255,1.0,1.0,2.0,1.0,3.0,0
256,1.0,1.0,2.0,1.0,2.0,0
257,1.0,1.0,1.0,1.0,1.0,1
258,1.0,1.0,1.25,1.0,1.25,2
259,1.0,1.0,1.25,1.0,1.25,2
260,1.0,1.0,1.0,1.0,1.0,1
261,1.0,1.0,1.0,1.0,1.0,0
262,2.0,1.0,2.0,1.0,3.0,1
263,6.5,4.0,9.75,4.0,12.0,1
264,6.5,4.0,10.75,3.0,13.0,1
265,7.0,3.25,10.5,3.0,12.0,1
266,6.0,3.5,8.5,2.0,15.0,1
267,4.0,3.0,5.5,2.0,6.0,1
268,4.0,3.25,6.25,1.0,7.0,1
269,4.0,2.25,4.0,1.0,5.0,1
270,4.0,3.25,6.25,1.0,8.0,1
271,4.0,3.25,5.0,2.0,7.0,1
272,4.0,2.25,5.75,1.0,10.0,0
273,4.0,3.0,4.75,2.0,5.0,1
274,4.0,3.25,5.0,2.0,5.0,2
275,1.5,1.0,2.0,1.0,2.0,0
276,2.0,1.25,2.0,1.0,2.0,1
277,1.5,1.0,2.0,1.0,2.0,0
278,2.0,1.25,2.0,1.0,2.0,1
279,2.0,1.0,2.0,1.0,2.0,0
280,1.0,1.0,3.0,1.0,6.0,0
281,2.0,1.0,2.0,1.0,2.0,0
282,1.0,1.0,1.5,1.0,2.0,0
283,1.0,1.0,1.5,1.0,2.0,0
284,2.0,1.0,4.0,1.0,5.0,0
285,2.0,1.0,2.0,1.0,2.0,0
286,1.0,1.0,1.5,1.0,2.0,1
287,2.0,1.75,2.0,1.75,2.0,2
288,2.0,1.0,2.0,1.0,3.0,0
289,1.0,1.0,1.0,1.0,1.0,1
290,2.0,1.75,2.25,1.0,3.0,0
291,2.0,2.0,2.0,2.0,2.0,1
292,1.0,1.0,1.5,1.0,2.0,0
293,1.0,1.0,1.5,1.0,2.0,0
294,2.0,1.75,2.0,1.75,2.0,3
295,1.0,1.0,1.5,1.0,2.0,0
296,1.0,1.0,1.5,1.0,2.0,0
297,1.0,1.0,1.0,1.0,1.0,1
298,1.0,1.0,1.0,1.0,1.0,1
299,2.0,1.0,3.0,1.0,3.0,1
300,2.0,1.0,2.0,1.0,3.0,0
301,2.0,1.0,2.0,1.0,2.0,0
302,1.0,1.0,2.0,1.0,2.0,0
303,2.0,1.5,2.0,1.0,2.0,0
304,1.0,1.0,1.5,1.0,2.0,0
305,1.0,1.0,2.0,1.0,2.0,0
306,2.0,2.0,4.0,1.0,5.0,0
307,1.5,1.0,2.0,1.0,3.0,0
308,1.0,1.0,1.0,1.0,1.0,1
309,1.0,1.0,2.0,1.0,3.0,0
310,2.0,1.0,3.0,1.0,4.0,1
311,2.0,1.0,2.5,1.0,3.0,0
312,1.0,1.0,2.0,1.0,3.0,0
313,1.0,1.0,2.0,1.0,2.0,0
314,1.0,1.0,1.0,1.0,1.0,1
315,2.0,1.0,2.25,1.0,3.0,0
316,1.0,1.0,1.5,1.0,2.0,1
317,1.0,1.0,1.0,1.0,1.0,2
318,1.0,1.0,1.0,1.0,1.0,1
319,1.5,1.0,2.0,1.0,3.0,0
320,1.0,1.0,2.0,1.0,2.0,0
321,1.0,1.0,2.0,1.0,3.0,0
322,2.0,1.0,3.0,1.0,5.0,0
323,1.0,1.0,1.25,1.0,1.25,2
324,2.5,1.0,4.25,1.0,7.0,0
325,1.0,1.0,1.0,1.0,1.0,2
326,1.0,1.0,2.0,1.0,2.0,0
327,1.0,1.0,2.0,1.0,2.0,0
328,1.0,1.0,1.0,1.0,1.0,1
329,1.5,1.0,2.0,1.0,2.0,0
330,1.0,1.0,1.5,1.0,2.0,1
331,2.0,1.0,6.0,1.0,12.0,0
333,1.5,1.0,2.0,1.0,2.0,0
334,1.0,1.0,2.0,1.0,2.0,0
335,2.0,1.25,2.0,1.0,2.0,0
336,1.0,1.0,1.75,1.0,2.0,2
337,1.0,1.0,2.0,1.0,2.0,0
338,1.0,1.0,4.0,1.0,4.0,0
339,3.0,2.0,4.0,1.0,5.0,1
340,3.5,2.0,4.0,1.0,6.0,0
341,2.0,2.0,3.75,1.0,6.0,0
342,4.0,2.25,4.0,1.0,5.0,0
343,3.0,2.25,4.0,1.0,4.0,1
344,3.0,2.25,4.0,1.0,6.0,0
345,2.0,2.0,2.75,1.0,3.0,2
346,3.5,3.0,4.0,3.0,4.0,3
347,4.0,3.0,7.0,2.0,9.0,1
348,5.0,4.25,8.25,2.0,9.0,2
