,median_notes
477,4.5
478,4.0
479,4.0
480,2.0
481,3.0
482,2.0
483,4.0
484,2.0
485,2.0
486,2.0
487,4.0
488,2.0
489,3.0
490,2.0
491,3.0
492,2.0
493,3.0
494,3.0
495,2.0
496,2.0
497,2.0
498,2.0
499,2.0
500,2.0
501,2.0
502,2.0
503,2.0
505,3.0
506,3.5
507,3.0
508,2.5
509,5.5
510,3.5
511,4.0
512,3.0
513,5.0
514,4.0
515,2.5
516,2.0
517,3.5
518,2.0
519,3.0
520,2.5
521,4.0
522,2.5
523,3.5
524,2.5
525,2.5
526,2.0
527,2.0
528,2.5
529,2.5
530,2.5
531,2.0
532,1.0
533,1.5
534,2.0
535,3.0
536,2.0
537,2.0
538,2.0
539,2.0
540,2.0
541,2.0
542,2.0
543,2.0
545,1.5
546,4.0
547,2.0
548,2.0
549,2.0
550,1.0
551,3.0
552,2.5
554,1.0
555,2.0
556,2.5
557,3.0
558,3.5
559,3.0
560,2.0
561,2.0
562,2.0
563,2.0
564,3.0
565,2.0
566,2.0
567,2.0
568,3.0
569,2.0
570,2.0
571,2.0
572,2.0
573,3.5
574,3.0
575,2.0
576,2.0
577,1.5
578,2.0
579,3.0
580,2.0
581,2.0
582,2.0
583,2.0
584,2.0
585,9.0
586,3.0
587,3.5
588,4.0
589,2.0
590,2.0
591,3.0
592,3.0
593,2.0
594,1.0
595,2.0
596,2.0
597,3.0
598,3.0
599,4.0
600,3.5
601,4.0
602,2.0
603,2.0
604,2.0
605,2.0
606,2.0
607,2.0
608,2.0
609,2.0
611,1.5
612,4.0
613,2.0
614,2.0
615,2.0
616,1.0
617,3.0
618,2.5
620,1.0
621,2.0
622,2.5
623,7.0
624,3.0
625,3.5
626,4.0
627,2.0
628,3.0
629,3.0
630,3.0
631,2.0
632,1.0
633,2.0
634,2.0
635,3.0
636,3.0
637,4.0
638,3.5
639,10.0
640,7.0
641,7.5
642,3.0
643,4.0
644,3.5
645,3.5
646,2.0
647,3.0
648,4.0
649,4.0
650,5.0
651,2.5
652,3.0
653,3.0
654,2.0
655,2.0
656,2.0
657,3.5
658,2.0
659,2.0
660,2.0
661,1.0
662,1.0
665,7.0
666,4.0
667,3.5
668,2.0
669,2.0
670,3.0
671,2.0
672,2.0
673,2.0
674,2.0
675,2.0
676,2.5
677,9.0
678,3.0
679,7.0
680,3.0
681,3.0
682,3.5
683,2.0
684,3.0
685,2.5
686,2.0
687,2.5
688,4.0
689,2.0
690,2.0
691,3.0
692,2.0
693,4.5
694,2.5
695,3.5
696,2.0
697,3.0
698,2.0
699,2.0
700,2.0
701,2.0
702,2.5
703,1.5
704,2.0
705,1.5
706,1.0
707,2.0
708,1.0
709,2.0
711,2.0
712,2.0
713,1.5
714,1.0
715,2.0
716,1.0
717,1.5
721,1.0
722,2.0
723,1.0
724,1.0
725,1.0
726,1.0
727,2.0
728,1.0
729,1.0
730,1.0
731,2.0
732,1.0
733,1.0
734,1.0
735,1.0
736,1.0
738,
739,
740,
741,
742,
743,
744,
745,
746,
747,
748,
751,3.0
752,3.0
753,3.0
754,2.5
761,1.0
762,1.0
763,1.5
764,1.5
765,2.0
766,1.0
767,2.0
768,1.0
769,2.0
770,1.5
771,1.5
772,1.0
773,2.0
774,2.0
775,1.0
776,2.0
777,2.0
778,2.0
779,2.0
780,2.0
781,2.0
782,3.0
783,3.0
784,3.0
785,4.0
786,4.0
787,1.0
788,2.0
789,3.0
790,3.0
791,3.0
792,3.0
793,2.0
794,3.0
795,3.5
796,2.5
797,3.0
798,3.0
799,4.0
800,4.0
801,4.0
802,4.0
803,3.0
804,4.0
805,3.0
806,3.0
807,3.0
808,3.0
809,4.0
810,4.0
811,3.0
812,4.0
813,3.0
814,3.0
815,3.0
816,3.0
817,2.0
818,1.0
819,1.0
820,1.0
821,1.0
822,2.0
823,1.0
824,1.0
825,1.0
826,2.0
827,4.0
828,2.5
829,3.0
830,2.0
831,3.5
832,4.0
833,3.0
834,2.0
835,2.0
836,3.0
837,3.0
838,2.0
839,4.0
840,2.0
841,3.5
842,3.5
843,3.0
844,2.0
845,3.0
846,2.5
869,2.0
870,
871,2.0
872,2.0
873,2.0
874,2.0
875,2.0
876,1.0
877,1.0
878,1.0
879,2.0
880,2.0
881,1.0
882,2.0
883,1.0
886,2.5
887,2.0
888,3.0
889,2.0
890,2.5
891,2.0
892,1.0
893,1.5
894,1.0
895,1.0
896,1.0
897,1.0
898,2.0
899,1.0
900,1.0
901,1.0
902,2.0
903,1.0
904,2.0
906,3.0
907,2.5
908,3.0
909,2.5
910,3.0
911,2.5
912,2.0
913,2.0
915,3.0
916,3.0
917,2.0
918,3.5
919,2.5
920,3.0
921,3.0
922,2.0
923,2.0
924,1.0
925,1.0
926,1.0
927,3.0
928,3.0
929,2.0
930,2.5
931,2.5
932,2.5
933,2.0
934,2.0
935,1.0
936,1.0
937,2.0
938,1.5
939,2.0
940,1.5
941,2.0
942,1.5
943,2.0
945,2.0
946,2.0
947,4.0
948,2.0
949,4.0
950,2.5
951,2.0
952,3.0
953,2.0
954,2.0
955,4.0
956,2.0
957,1.0
958,1.0
959,1.5
960,1.0
961,1.0
962,2.0
963,1.0
964,1.0
965,1.0
966,1.0
967,1.0
968,1.0
969,1.0
970,1.5
971,1.0
972,1.0
973,1.0
974,1.0
978,2.0
985,1.0
986,1.0
987,2.0
988,1.5
989,2.0
990,2.0
991,2.0
1007,2.0
1008,1.0
1009,1.0
1010,1.0
1011,1.0
1012,1.0
1013,2.0
1014,1.0
1015,1.0
1016,2.0
1017,1.5
1018,1.0
1019,1.0
1020,2.0
1021,1.0
1022,1.0
1023,1.0
1024,1.5
1025,2.0
1026,1.0
1027,1.0
1051,1.0
1052,1.0
1053,1.0
1054,1.0
1055,1.0
1056,1.0
1057,1.0
1058,1.0
1059,1.0
1060,1.0
1061,1.0
1062,2.0
1063,1.0
1064,2.0
1065,2.0
1066,2.0
1067,1.0
1068,1.0
1069,1.0
