,median_duration
477,1.75
478,2.0
479,1.625
480,1.0
481,1.0
482,1.0
483,2.0
484,1.0
485,1.0
486,1.0
487,1.5
488,1.0
489,1.0
490,1.0
491,1.0
492,1.0
493,1.0
494,0.875
495,0.75
496,1.0
497,0.9375
498,0.5
499,1.0
500,1.0
501,1.0
502,0.875
503,0.75
505,1.5
506,1.625
507,1.0
508,1.75
509,1.875
510,1.75
511,1.25
512,0.875
513,2.0
514,1.0
515,1.0
516,1.0
517,1.0
518,0.875
519,1.0
520,1.0
521,1.0
522,0.875
523,1.0
524,1.0
525,1.0
526,0.75
527,1.0
528,1.0
529,1.0
530,1.0
531,1.0
532,1.0
533,0.625
534,0.5
535,1.0
536,1.0
537,1.0
538,1.0
539,1.0
540,1.0
541,1.0
542,1.0
543,0.5
545,0.75
546,2.0
547,1.0
548,1.0
549,1.0
550,0.5
551,1.0
552,1.0
554,1.0
555,1.0
556,1.0
557,1.5
558,2.0
559,2.0
560,1.0
561,1.5
562,1.0
563,1.0
564,2.0
565,1.25
566,1.0
567,1.0
568,1.0
569,1.0
570,1.5
571,1.0
572,1.0
573,1.0
574,1.0
575,1.0
576,1.0
577,1.0
578,1.25
579,1.0
580,0.75
581,1.0
582,0.75
583,0.75
584,1.0
585,3.5
586,1.5
587,1.5
588,2.0
589,1.0
590,1.0
591,1.0
592,1.0
593,1.0
594,0.75
595,1.0
596,1.0
597,1.0
598,1.0
599,1.5
600,1.25
601,1.0
602,1.0
603,1.0
604,1.0
605,1.0
606,1.0
607,1.0
608,1.0
609,1.0
611,0.75
612,2.0
613,1.0
614,1.0
615,1.0
616,0.5
617,1.0
618,1.0
620,1.0
621,1.0
622,1.0
623,3.5
624,1.5
625,1.5
626,2.0
627,1.0
628,1.0
629,1.0
630,1.0
631,1.0
632,0.75
633,1.0
634,1.0
635,1.0
636,1.0
637,1.75
638,1.25
639,3.5
640,1.75
641,2.5
642,1.0
643,1.0
644,1.625
645,1.25
646,1.0
647,1.0
648,1.0
649,1.0
650,1.75
651,1.0
652,1.0
653,1.0
654,0.5
655,0.625
656,0.5
657,1.0
658,1.0
659,1.0
660,1.0
661,1.0
662,0.5
665,3.5
666,1.5
667,1.75
668,1.0
669,1.0
670,1.5
671,1.0
672,1.0
673,1.0
674,1.0
675,1.0
676,2.0
677,3.0
678,1.5
679,2.25
680,1.0
681,1.0
682,2.0
683,1.25
684,1.25
685,1.0
686,1.0
687,1.0
688,1.25
689,1.0
690,0.75
691,1.0
692,1.0
693,2.0
694,1.25
695,1.125
696,1.0
697,1.0
698,1.0
699,1.0
700,1.0
701,1.0
702,1.125
703,0.75
704,1.0
705,0.75
706,0.5
707,0.75
708,0.5
709,1.0
711,1.0
712,1.0
713,0.75
714,0.5
715,1.0
716,1.0
717,1.0
721,1.0
722,1.0
723,1.0
724,0.75
725,1.0
726,1.0
727,1.0
728,1.0
729,1.0
730,1.0
731,1.0
732,1.0
733,1.0
734,1.0
735,1.0
736,1.0
738,
739,
740,
741,
742,
743,
744,
745,
746,
747,
748,
751,1.0
752,1.0
753,1.0
754,1.0
761,1.0
762,0.5
763,0.75
764,0.75
765,1.0
766,0.75
767,0.75
768,0.5
769,0.5
770,0.5
771,1.0
772,1.0
773,1.0
774,0.75
775,0.5
776,1.0
777,1.0
778,1.0
779,1.0
780,1.5
781,0.75
782,1.0
783,1.0
784,1.0
785,1.0
786,1.0
787,0.5
788,1.5
789,1.0
790,1.0
791,1.0
792,2.0
793,1.0
794,1.0
795,1.25
796,1.0
797,1.0
798,1.0
799,2.0
800,1.0
801,2.0
802,1.5
803,2.0
804,2.0
805,1.5
806,1.5
807,1.0
808,1.75
809,2.0
810,1.5
811,2.0
812,2.0
813,1.5
814,1.75
815,1.0
816,1.75
817,1.0
818,0.75
819,0.5
820,1.0
821,1.0
822,1.0
823,0.75
824,1.0
825,0.5
826,1.0
827,1.25
828,1.75
829,1.75
830,1.5
831,2.0
832,1.5
833,1.5
834,1.5
835,1.5
836,0.75
837,1.5
838,2.0
839,2.0
840,1.5
841,2.0
842,1.75
843,2.0
844,1.5
845,1.5
846,0.5
869,1.0
870,
871,1.0
872,1.0
873,0.5
874,0.5
875,1.0
876,0.5
877,0.5
878,0.75
879,1.0
880,1.0
881,0.875
882,0.5
883,1.0
886,1.0
887,1.0
888,1.0
889,1.0
890,1.0
891,1.0
892,1.0
893,0.75
894,0.75
895,0.625
896,0.5
897,0.5
898,1.0
899,0.5
900,0.5
901,0.5
902,1.0
903,1.0
904,1.0
906,1.0
907,1.0
908,1.0
909,1.0
910,1.0
911,1.0
912,1.0
913,1.0
915,1.0
916,1.25
917,1.0
918,1.25
919,1.0
920,1.0
921,1.0
922,1.0
923,1.0
924,1.0
925,1.0
926,1.0
927,2.0
928,2.0
929,2.0
930,2.0
931,2.0
932,2.0
933,1.0
934,1.0
935,0.5
936,1.0
937,1.0
938,1.0
939,1.0
940,1.0
941,1.0
942,1.0
943,2.0
945,1.0
946,1.0
947,1.25
948,1.0
949,1.125
950,1.0
951,1.0
952,1.0
953,1.0
954,1.0
955,1.25
956,1.0
957,0.5
958,0.5
959,0.5
960,0.5
961,0.5
962,0.5
963,0.5
964,0.5
965,0.5
966,0.5
967,0.5
968,0.5
969,0.5
970,1.5
971,1.0
972,1.0
973,1.0
974,1.0
978,0.75
985,1.0
986,1.0
987,1.0
988,1.0
989,1.0
990,1.0
991,1.0
1007,1.0
1008,0.5
1009,1.0
1010,0.5
1011,0.75
1012,0.5
1013,1.0
1014,0.5
1015,0.5
1016,1.0
1017,1.0
1018,0.5
1019,0.5
1020,1.0
1021,0.75
1022,0.5
1023,0.5
1024,0.75
1025,1.0
1026,1.0
1027,1.0
1051,1.0
1052,1.0
1053,1.0
1054,1.0
1055,1.0
1056,1.0
1057,1.0
1058,1.0
1059,1.0
1060,1.0
1061,1.0
1062,1.0
