,median_notes
0,5.0
1,3.5
2,4.0
3,3.5
4,5.0
5,5.0
6,5.0
7,4.5
8,3.0
9,4.5
10,4.0
11,5.0
12,4.5
13,4.0
14,5.0
15,4.0
16,5.0
17,3.5
18,4.0
19,3.0
20,6.0
21,3.0
22,3.0
23,4.0
24,3.0
25,3.0
26,3.0
27,4.0
28,5.0
29,4.0
30,4.0
31,4.0
32,5.5
33,3.5
34,5.0
35,5.5
36,3.0
37,4.0
38,3.5
39,4.0
40,3.5
41,3.5
42,10.5
43,7.0
44,7.5
45,3.0
46,7.0
47,8.5
48,4.0
49,4.0
50,4.0
51,4.0
52,3.0
53,3.0
54,2.5
55,4.0
56,8.5
57,5.5
58,7.0
59,5.0
60,4.0
61,4.5
62,4.0
63,5.0
64,4.0
65,4.0
66,11.0
67,5.0
68,11.0
69,5.0
70,3.0
71,3.0
72,4.0
73,9.0
74,2.0
75,2.0
76,2.0
77,2.0
78,2.0
79,2.0
80,2.0
81,2.0
82,1.5
83,2.0
84,2.0
85,2.0
86,2.0
88,8.5
89,4.5
90,2.5
91,2.5
92,2.0
93,2.0
94,2.0
95,2.0
96,3.0
98,2.0
99,3.0
100,2.0
101,2.0
103,2.0
104,4.0
105,2.5
106,4.0
107,2.0
108,2.0
109,2.0
110,2.5
111,2.0
112,2.0
113,2.0
114,2.0
115,2.0
116,2.5
117,2.5
118,2.5
119,2.5
120,5.5
121,4.0
122,4.0
123,3.5
124,2.0
125,4.0
126,3.0
127,4.0
128,4.5
129,3.0
130,3.5
131,2.0
132,2.0
133,2.0
134,2.0
135,2.0
136,2.0
137,2.0
138,3.0
139,2.0
140,2.0
141,2.0
142,1.5
143,2.0
144,2.0
145,2.0
146,2.0
147,1.0
148,2.0
149,2.0
150,2.0
151,2.0
152,1.5
153,2.0
154,2.0
155,1.0
156,2.0
157,1.5
158,1.5
159,3.0
160,2.0
161,2.0
162,2.5
163,1.0
164,2.0
165,2.0
166,5.0
167,3.5
168,4.0
169,4.0
170,3.5
171,2.0
172,3.0
173,2.0
194,6.0
195,3.5
196,8.0
197,7.0
198,4.0
199,6.0
200,4.0
201,3.0
202,4.0
203,4.0
204,5.0
205,3.0
206,1.0
207,2.0
208,2.0
209,1.0
210,3.0
211,1.0
212,2.0
213,1.5
214,1.5
215,1.0
216,1.0
217,2.0
218,1.0
219,2.0
220,2.0
221,1.0
222,1.0
223,1.0
224,1.0
225,1.5
226,2.0
227,1.0
228,1.0
229,2.0
230,1.0
231,1.0
232,2.0
233,3.5
234,3.5
235,3.0
236,2.0
237,2.5
238,4.0
239,3.0
240,3.0
241,3.5
242,2.0
243,2.0
244,4.0
245,2.5
246,3.5
247,2.0
248,3.5
249,1.0
250,1.0
251,1.5
252,1.5
253,1.5
254,1.5
255,1.0
256,1.0
257,1.0
258,1.0
259,1.0
260,1.0
261,1.0
262,2.0
263,6.5
264,6.5
265,7.0
266,6.0
267,4.0
268,4.0
269,4.0
270,4.0
271,4.0
272,4.0
273,4.0
274,4.0
275,1.5
276,2.0
277,1.5
278,2.0
279,2.0
280,1.0
281,2.0
282,1.0
283,1.0
