,median_duration
0,1.75
1,1.625
2,2.0
3,1.5
4,2.0
5,2.0
6,1.75
7,1.125
8,1.0
9,1.125
10,1.25
11,1.75
12,2.0
13,1.125
14,1.875
15,1.125
16,1.875
17,1.125
18,1.375
19,1.0
20,1.5
21,1.0
22,0.5
23,1.5
24,1.0
25,1.0
26,1.0
27,1.0
28,2.0
29,1.75
30,1.875
31,1.75
32,2.0
33,1.75
34,2.0
35,1.75
36,1.0
37,1.25
38,1.0
39,1.0
40,1.0
41,1.125
42,2.875
43,2.0
44,2.0
45,1.0
46,2.0
47,2.0
48,2.0
49,1.75
50,1.75
51,1.25
52,1.0
53,1.25
54,1.25
55,1.5
56,1.75
57,1.5
58,1.75
59,1.25
60,1.0
61,1.0
62,1.0
63,1.0
64,1.25
65,1.0
66,3.5
67,1.75
68,2.75
69,1.5
70,1.0
71,1.0
72,1.5
73,2.75
74,0.5
75,0.5
76,0.5
77,0.625
78,1.0
79,0.75
80,1.0
81,1.5
82,1.25
83,1.0
84,1.25
85,1.0
86,1.0
88,2.0
89,1.0
90,2.0
91,1.5
92,1.25
93,1.0
94,1.25
95,1.0
96,1.75
98,1.0
99,2.0
100,1.0
101,1.0
103,1.25
104,2.0
105,1.5
106,2.0
107,1.0
108,1.0
109,1.0
110,1.25
111,1.0
112,1.0
113,1.0
114,1.0
115,1.0
116,1.25
117,1.125
118,1.25
119,1.125
120,2.0
121,1.5
122,2.0
123,1.0
124,1.0
125,1.0
126,1.0
127,1.75
128,2.0
129,1.25
130,1.25
131,1.0
132,1.0
133,1.0
134,0.75
135,0.5
136,0.5
137,0.5
138,1.0
139,0.5
140,0.5
141,0.5
142,0.5
143,0.5
144,0.5
145,0.5
146,0.4375
147,0.5
148,0.75
149,0.5
150,1.0
151,1.0
152,0.5
153,0.625
154,1.0
155,0.5
156,0.5625
157,0.5
158,0.5625
159,0.75
160,0.5
161,0.5
162,0.625
163,0.5
164,0.875
165,0.5
166,1.75
167,1.75
168,2.0
169,1.625
170,1.25
171,0.75
172,1.0
173,0.75
470,2.0
471,1.5
472,2.0
473,1.5
475,
476,
477,1.75
478,2.0
479,1.625
480,1.0
481,1.0
482,1.0
483,2.0
484,1.0
485,1.0
486,1.0
487,1.5
488,1.0
489,1.0
490,1.0
491,1.0
492,1.0
493,1.0
494,0.875
495,0.75
496,1.0
497,0.9375
498,0.5
499,1.0
500,1.0
501,1.0
502,0.875
503,0.75
505,1.5
506,1.625
507,1.0
508,1.75
509,1.875
510,1.75
511,1.25
512,0.875
513,2.0
514,1.0
515,1.0
516,1.0
517,1.0
518,0.875
519,1.0
520,1.0
521,1.0
522,0.875
523,1.0
524,1.0
525,1.0
526,0.75
527,1.0
528,1.0
529,1.0
530,1.0
531,1.0
532,1.0
533,0.625
534,0.5
535,1.0
536,1.0
537,1.0
538,1.0
539,1.0
540,1.0
541,1.0
542,1.0
543,0.5
545,0.75
546,2.0
547,1.0
548,1.0
549,1.0
550,0.5
551,1.0
552,1.0
554,1.0
555,1.0
556,1.0
557,1.5
558,2.0
559,2.0
560,1.0
561,1.5
562,1.0
563,1.0
564,2.0
565,1.25
566,1.0
567,1.0
568,1.0
569,1.0
570,1.5
571,1.0
572,1.0
573,1.0
574,1.0
575,1.0
576,1.0
577,1.0
578,1.25
579,1.0
580,0.75
581,1.0
582,0.75
583,0.75
584,1.0
585,3.5
586,1.5
587,1.5
588,2.0
589,1.0
590,1.0
591,1.0
592,1.0
593,1.0
594,0.75
595,1.0
596,1.0
597,1.0
598,1.0
599,1.5
600,1.25
601,1.0
602,1.0
603,1.0
604,1.0
605,1.0
606,1.0
607,1.0
608,1.0
609,1.0
611,0.75
612,2.0
613,1.0
614,1.0
615,1.0
616,0.5
617,1.0
618,1.0
620,1.0
621,1.0
622,1.0
623,3.5
624,1.5
625,1.5
626,2.0
627,1.0
628,1.0
629,1.0
630,1.0
631,1.0
632,0.75
633,1.0
634,1.0
635,1.0
636,1.0
637,1.75
638,1.25
639,3.5
640,1.75
641,2.5
642,1.0
643,1.0
644,1.625
645,1.25
646,1.0
647,1.0
648,1.0
649,1.0
650,1.75
651,1.0
652,1.0
653,1.0
654,0.5
655,0.625
656,0.5
657,1.0
658,1.0
659,1.0
660,1.0
661,1.0
662,0.5
665,3.5
666,1.5
667,1.75
668,1.0
669,1.0
670,1.5
671,1.0
672,1.0
673,1.0
674,1.0
675,1.0
676,2.0
677,3.0
678,1.5
679,2.25
680,1.0
681,1.0
682,2.0
683,1.25
684,1.25
685,1.0
686,1.0
687,1.0
688,1.25
689,1.0
690,0.75
691,1.0
692,1.0
693,2.0
694,1.25
695,1.125
696,1.0
697,1.0
698,1.0
699,1.0
700,1.0
701,1.0
702,1.125
978,0.75
980,
981,
982,
983,
