,median_duration
194,2.0
195,1.0
196,2.0
197,1.75
198,1.375
199,1.5
200,1.0
201,1.0
202,1.0
203,1.0
204,1.5
205,1.0
206,0.5
207,1.0
208,0.75
209,0.5
210,1.5
211,0.75
212,1.0
213,1.0
214,1.0
215,1.0
216,0.5
217,1.0
218,0.5
219,0.5
220,1.0
221,0.5
222,0.5
223,0.5
224,0.5
225,0.75
226,1.0
227,1.0
228,0.5
229,1.0
230,0.5
231,1.0
232,1.0
233,2.0
234,1.75
235,1.5
236,1.0
237,1.5
238,1.5
239,1.25
240,1.5
241,1.75
242,1.0
243,1.5
244,1.75
245,1.25
246,2.0
247,1.0
248,1.75
249,1.0
250,1.0
251,1.0
252,1.0
253,0.75
254,1.0
255,1.0
256,1.0
257,0.625
258,0.5
259,0.5
260,0.5
261,0.5
262,1.0
263,1.625
264,1.625
265,1.625
266,1.625
267,1.75
268,1.75
269,1.75
270,1.75
271,1.75
272,1.75
273,1.75
274,1.625
275,0.75
276,0.75
277,1.0
278,1.0
279,1.0
280,0.5
281,0.5
282,0.5
283,0.5
284,0.5
285,1.0
286,0.5
287,1.0
288,1.0
289,0.5
290,1.0
291,1.0
292,0.5
293,0.5
294,1.0
295,0.5
296,0.5
297,0.5
298,0.5
299,1.0
300,1.0
301,1.0
302,0.5
303,1.0
304,0.5
305,1.0
306,1.0
307,1.0
308,0.75
309,1.0
310,1.0
311,1.0
312,1.0
313,1.0
314,0.5
315,1.0
316,0.75
317,0.5
318,0.5
319,1.0
320,0.75
321,0.5
322,1.0
323,0.5
324,1.0
325,1.0
326,1.0
327,0.75
328,0.5
329,1.0
330,0.5
331,1.0
333,0.75
334,0.5
335,1.0
336,0.5
337,0.75
338,1.0
339,2.0
340,2.0
341,2.0
342,2.0
343,2.0
344,2.0
345,2.0
346,2.0
347,2.0
348,1.625
349,1.5
350,1.75
351,1.75
352,1.75
353,1.125
354,1.75
355,2.0
356,2.0
357,2.0
358,2.0
361,2.0
362,2.0
363,2.0
364,2.0
365,2.0
366,1.25
367,2.0
368,1.25
369,2.0
370,1.75
371,1.25
372,2.0
373,0.5
374,0.875
375,0.5
376,0.5
377,1.0
378,0.75
379,0.5
380,1.5
381,0.5
382,1.0
383,1.0
384,0.5
385,1.0
386,1.0
387,1.5
388,2.0
389,1.75
390,2.0
391,1.5
392,1.625
393,1.5
394,1.625
395,2.0
396,1.75
397,2.0
398,1.25
399,1.75
400,1.75
401,1.0
402,1.0
403,1.0
404,1.25
405,1.0
406,1.0
407,1.0
408,1.0
409,1.0
410,0.5
411,0.5
412,0.5
413,0.5
414,1.0
415,1.0
416,1.0
417,0.75
418,1.0
419,1.0
420,1.0
421,1.0
422,1.0
423,1.0
424,1.0
425,1.0
426,1.0
427,0.5
428,0.5
429,2.0
430,2.0
431,2.0
432,2.0
433,2.0
435,2.0
436,2.0
437,2.0
438,3.0
439,2.0
440,2.0
441,1.75
442,2.0
443,2.0
444,2.0
445,2.0
446,2.0
447,2.0
448,2.0
449,1.875
450,2.0
451,1.0
452,0.5
453,1.0
454,1.0
455,0.5
456,0.5
457,1.0
458,1.0
459,1.0
460,1.0
461,1.0
462,1.0
463,1.0
464,1.75
465,1.0
466,0.5
467,1.0
468,1.125
703,0.75
704,1.0
705,0.75
706,0.5
707,0.75
708,0.5
709,1.0
711,1.0
712,1.0
713,0.75
714,0.5
715,1.0
716,1.0
717,1.0
721,1.0
722,1.0
723,1.0
724,0.75
725,1.0
726,1.0
727,1.0
728,1.0
729,1.0
730,1.0
731,1.0
732,1.0
733,1.0
734,1.0
735,1.0
736,1.0
738,
739,
740,
741,
742,
743,
744,
745,
746,
747,
748,
751,1.0
752,1.0
753,1.0
754,1.0
761,1.0
762,0.5
763,0.75
764,0.75
765,1.0
766,0.75
767,0.75
768,0.5
769,0.5
770,0.5
771,1.0
772,1.0
773,1.0
774,0.75
775,0.5
776,1.0
777,1.0
778,1.0
779,1.0
780,1.5
781,0.75
782,1.0
783,1.0
784,1.0
785,1.0
786,1.0
787,0.5
788,1.5
789,1.0
790,1.0
791,1.0
792,2.0
793,1.0
794,1.0
795,1.25
796,1.0
797,1.0
798,1.0
799,2.0
800,1.0
801,2.0
802,1.5
803,2.0
804,2.0
805,1.5
806,1.5
807,1.0
808,1.75
809,2.0
810,1.5
811,2.0
812,2.0
813,1.5
814,1.75
815,1.0
816,1.75
817,1.0
818,0.75
819,0.5
820,1.0
821,1.0
822,1.0
823,0.75
824,1.0
825,0.5
826,1.0
827,1.25
828,1.75
829,1.75
830,1.5
831,2.0
832,1.5
833,1.5
834,1.5
835,1.5
836,0.75
837,1.5
838,2.0
839,2.0
840,1.5
841,2.0
842,1.75
843,2.0
844,1.5
845,1.5
846,0.5
869,1.0
870,
871,1.0
872,1.0
873,0.5
874,0.5
875,1.0
876,0.5
877,0.5
878,0.75
879,1.0
880,1.0
881,0.875
882,0.5
883,1.0
886,1.0
887,1.0
888,1.0
889,1.0
890,1.0
891,1.0
892,1.0
893,0.75
894,0.75
895,0.625
896,0.5
897,0.5
898,1.0
899,0.5
900,0.5
901,0.5
902,1.0
903,1.0
904,1.0
906,1.0
907,1.0
908,1.0
909,1.0
910,1.0
911,1.0
912,1.0
913,1.0
915,1.0
916,1.25
917,1.0
918,1.25
919,1.0
920,1.0
921,1.0
922,1.0
923,1.0
924,1.0
925,1.0
926,1.0
927,2.0
928,2.0
929,2.0
930,2.0
931,2.0
932,2.0
933,1.0
934,1.0
935,0.5
936,1.0
937,1.0
938,1.0
939,1.0
940,1.0
941,1.0
942,1.0
943,2.0
945,1.0
946,1.0
947,1.25
948,1.0
949,1.125
950,1.0
951,1.0
952,1.0
953,1.0
954,1.0
955,1.25
956,1.0
957,0.5
958,0.5
959,0.5
960,0.5
961,0.5
962,0.5
963,0.5
964,0.5
965,0.5
966,0.5
967,0.5
968,0.5
969,0.5
970,1.5
971,1.0
972,1.0
973,1.0
974,1.0
985,1.0
986,1.0
987,1.0
988,1.0
989,1.0
990,1.0
991,1.0
993,
994,
995,
996,
997,
998,
999,
1000,
1001,
1002,
1003,
1004,
1005,
1007,1.0
1008,0.5
1009,1.0
1010,0.5
1011,0.75
1012,0.5
1013,1.0
1014,0.5
1015,0.5
1016,1.0
1017,1.0
1018,0.5
1019,0.5
1020,1.0
1021,0.75
1022,0.5
1023,0.5
1024,0.75
1025,1.0
1026,1.0
1027,1.0
1030,
1031,
1032,
1033,
1034,
1035,
1036,
1037,
1038,
1039,
1040,
1041,
1042,
1043,
1044,
1045,
1046,
1047,
1048,
1049,
1051,1.0
1052,1.0
1053,1.0
1054,1.0
1055,1.0
1056,1.0
1057,1.0
1058,1.0
1059,1.0
1060,1.0
1061,1.0
1062,1.0
1063,1.0
1064,1.0
1065,1.0
1066,1.0
1067,1.0
1068,1.0
1069,1.0
1072,
1073,
1074,
1075,
1076,
1077,
1078,
1079,
1080,
1081,
1082,
1083,
