,median_notes
0,5.0
1,3.5
2,4.0
3,3.5
4,5.0
5,5.0
6,5.0
7,4.5
8,3.0
9,4.5
10,4.0
11,5.0
12,4.5
13,4.0
14,5.0
15,4.0
16,5.0
17,3.5
18,4.0
19,3.0
20,6.0
21,3.0
22,3.0
23,4.0
24,3.0
25,3.0
26,3.0
27,4.0
28,5.0
29,4.0
30,4.0
31,4.0
32,5.5
33,3.5
34,5.0
35,5.5
36,3.0
37,4.0
38,3.5
39,4.0
40,3.5
41,3.5
42,10.5
43,7.0
44,7.5
45,3.0
46,7.0
47,8.5
48,4.0
49,4.0
50,4.0
51,4.0
52,3.0
53,3.0
54,2.5
55,4.0
56,8.5
57,5.5
58,7.0
59,5.0
60,4.0
61,4.5
62,4.0
63,5.0
64,4.0
65,4.0
66,11.0
67,5.0
68,11.0
69,5.0
70,3.0
71,3.0
72,4.0
73,9.0
74,2.0
75,2.0
76,2.0
77,2.0
78,2.0
79,2.0
80,2.0
81,2.0
82,1.5
83,2.0
84,2.0
85,2.0
86,2.0
88,8.5
89,4.5
90,2.5
91,2.5
92,2.0
93,2.0
94,2.0
95,2.0
96,3.0
98,2.0
99,3.0
100,2.0
101,2.0
103,2.0
104,4.0
105,2.5
106,4.0
107,2.0
108,2.0
109,2.0
110,2.5
111,2.0
112,2.0
113,2.0
114,2.0
115,2.0
116,2.5
117,2.5
118,2.5
119,2.5
120,5.5
121,4.0
122,4.0
123,3.5
124,2.0
125,4.0
126,3.0
127,4.0
128,4.5
129,3.0
130,3.5
131,2.0
132,2.0
133,2.0
134,2.0
135,2.0
136,2.0
137,2.0
138,3.0
139,2.0
140,2.0
141,2.0
142,1.5
143,2.0
144,2.0
145,2.0
146,2.0
147,1.0
148,2.0
149,2.0
150,2.0
151,2.0
152,1.5
153,2.0
154,2.0
155,1.0
156,2.0
157,1.5
158,1.5
159,3.0
160,2.0
161,2.0
162,2.5
163,1.0
164,2.0
165,2.0
166,5.0
167,3.5
168,4.0
169,4.0
170,3.5
171,2.0
172,3.0
173,2.0
470,6.0
471,4.0
472,6.0
473,5.0
475,
476,
477,4.5
478,4.0
479,4.0
480,2.0
481,3.0
482,2.0
483,4.0
484,2.0
485,2.0
486,2.0
487,4.0
488,2.0
489,3.0
490,2.0
491,3.0
492,2.0
493,3.0
494,3.0
495,2.0
496,2.0
497,2.0
498,2.0
499,2.0
500,2.0
501,2.0
502,2.0
503,2.0
505,3.0
506,3.5
507,3.0
508,2.5
509,5.5
510,3.5
511,4.0
512,3.0
513,5.0
514,4.0
515,2.5
516,2.0
517,3.5
518,2.0
519,3.0
520,2.5
521,4.0
522,2.5
523,3.5
524,2.5
525,2.5
526,2.0
527,2.0
528,2.5
529,2.5
530,2.5
531,2.0
532,1.0
533,1.5
534,2.0
535,3.0
536,2.0
537,2.0
538,2.0
539,2.0
540,2.0
541,2.0
542,2.0
543,2.0
545,1.5
546,4.0
547,2.0
548,2.0
549,2.0
550,1.0
551,3.0
552,2.5
554,1.0
555,2.0
556,2.5
557,3.0
558,3.5
559,3.0
560,2.0
561,2.0
562,2.0
563,2.0
564,3.0
565,2.0
566,2.0
567,2.0
568,3.0
569,2.0
570,2.0
571,2.0
572,2.0
573,3.5
574,3.0
575,2.0
576,2.0
577,1.5
578,2.0
579,3.0
580,2.0
581,2.0
582,2.0
583,2.0
584,2.0
585,9.0
586,3.0
587,3.5
588,4.0
589,2.0
590,2.0
591,3.0
592,3.0
593,2.0
594,1.0
595,2.0
596,2.0
597,3.0
598,3.0
599,4.0
600,3.5
601,4.0
602,2.0
603,2.0
604,2.0
605,2.0
606,2.0
607,2.0
608,2.0
609,2.0
611,1.5
612,4.0
613,2.0
614,2.0
615,2.0
616,1.0
617,3.0
618,2.5
620,1.0
621,2.0
622,2.5
623,7.0
624,3.0
625,3.5
626,4.0
627,2.0
628,3.0
629,3.0
630,3.0
631,2.0
632,1.0
633,2.0
634,2.0
635,3.0
636,3.0
637,4.0
638,3.5
639,10.0
640,7.0
641,7.5
642,3.0
643,4.0
644,3.5
645,3.5
646,2.0
647,3.0
648,4.0
649,4.0
650,5.0
651,2.5
652,3.0
653,3.0
654,2.0
655,2.0
656,2.0
657,3.5
658,2.0
659,2.0
660,2.0
661,1.0
662,1.0
665,7.0
666,4.0
667,3.5
668,2.0
669,2.0
670,3.0
671,2.0
672,2.0
673,2.0
674,2.0
675,2.0
676,2.5
677,9.0
678,3.0
679,7.0
680,3.0
681,3.0
682,3.5
683,2.0
684,3.0
685,2.5
686,2.0
687,2.5
688,4.0
689,2.0
690,2.0
691,3.0
692,2.0
693,4.5
694,2.5
695,3.5
696,2.0
697,3.0
698,2.0
699,2.0
700,2.0
701,2.0
702,2.5
978,2.0
980,
981,
982,
983,
