,median_notes
194,6.0
195,3.5
196,8.0
197,7.0
198,4.0
199,6.0
200,4.0
201,3.0
202,4.0
203,4.0
204,5.0
205,3.0
206,1.0
207,2.0
208,2.0
209,1.0
210,3.0
211,1.0
212,2.0
213,1.5
214,1.5
215,1.0
216,1.0
217,2.0
218,1.0
219,2.0
220,2.0
221,1.0
222,1.0
223,1.0
224,1.0
225,1.5
226,2.0
227,1.0
228,1.0
229,2.0
230,1.0
231,1.0
232,2.0
233,3.5
234,3.5
235,3.0
236,2.0
237,2.5
238,4.0
239,3.0
240,3.0
241,3.5
242,2.0
243,2.0
244,4.0
245,2.5
246,3.5
247,2.0
248,3.5
249,1.0
250,1.0
251,1.5
252,1.5
253,1.5
254,1.5
255,1.0
256,1.0
257,1.0
258,1.0
259,1.0
260,1.0
261,1.0
262,2.0
263,6.5
264,6.5
265,7.0
266,6.0
267,4.0
268,4.0
269,4.0
270,4.0
271,4.0
272,4.0
273,4.0
274,4.0
275,1.5
276,2.0
277,1.5
278,2.0
279,2.0
280,1.0
281,2.0
282,1.0
283,1.0
284,2.0
285,2.0
286,1.0
287,2.0
288,2.0
289,1.0
290,2.0
291,2.0
292,1.0
293,1.0
294,2.0
295,1.0
296,1.0
297,1.0
298,1.0
299,2.0
300,2.0
301,2.0
302,1.0
303,2.0
304,1.0
305,1.0
306,2.0
307,1.5
308,1.0
309,1.0
310,2.0
311,2.0
312,1.0
313,1.0
314,1.0
315,2.0
316,1.0
317,1.0
318,1.0
319,1.5
320,1.0
321,1.0
322,2.0
323,1.0
324,2.5
325,1.0
326,1.0
327,1.0
328,1.0
329,1.5
330,1.0
331,2.0
333,1.5
334,1.0
335,2.0
336,1.0
337,1.0
338,1.0
339,3.0
340,3.5
341,2.0
342,4.0
343,3.0
344,3.0
345,2.0
346,3.5
347,4.0
348,5.0
349,4.0
350,5.5
351,4.0
352,3.5
353,3.0
354,3.5
355,4.0
356,3.0
357,2.0
358,2.5
361,3.5
362,5.0
363,4.0
364,3.5
365,3.5
366,2.5
367,2.5
368,2.0
369,3.0
370,2.0
371,2.0
372,3.5
373,1.0
374,1.0
375,1.0
376,1.0
377,1.0
378,1.0
379,1.0
380,3.0
381,1.0
382,1.0
383,2.0
384,1.0
385,1.0
386,2.0
387,3.0
388,3.5
389,3.0
390,4.0
391,4.5
392,4.5
393,3.5
394,4.5
395,3.0
396,3.0
397,3.0
398,3.5
399,3.5
400,3.0
401,4.0
402,4.5
403,3.0
404,4.5
405,3.0
406,1.5
407,2.0
408,2.0
409,1.0
410,1.0
411,1.0
412,1.0
413,1.0
414,1.0
415,1.5
416,1.5
417,1.0
418,1.0
419,1.5
420,1.0
421,1.0
422,1.5
423,3.5
424,4.0
425,4.0
426,4.0
427,1.0
428,1.0
429,3.5
430,4.5
431,3.0
432,3.0
433,3.0
435,4.0
436,7.0
437,5.0
438,5.0
439,5.0
440,4.0
441,6.0
442,7.0
443,6.0
444,6.0
445,5.0
446,4.5
447,4.0
448,4.5
449,4.0
450,4.0
451,2.0
452,1.0
453,1.0
454,2.0
455,1.0
456,1.0
457,1.0
458,2.0
459,4.5
460,4.0
461,2.0
462,4.0
463,3.0
464,7.0
465,2.5
466,2.0
467,2.0
468,4.0
703,1.5
704,2.0
705,1.5
706,1.0
707,2.0
708,1.0
709,2.0
711,2.0
712,2.0
713,1.5
714,1.0
715,2.0
716,1.0
717,1.5
721,1.0
722,2.0
723,1.0
724,1.0
725,1.0
726,1.0
727,2.0
728,1.0
729,1.0
730,1.0
731,2.0
732,1.0
733,1.0
734,1.0
735,1.0
736,1.0
738,
739,
740,
741,
742,
743,
744,
745,
746,
747,
748,
751,3.0
752,3.0
753,3.0
754,2.5
761,1.0
762,1.0
763,1.5
764,1.5
765,2.0
766,1.0
767,2.0
768,1.0
769,2.0
770,1.5
771,1.5
772,1.0
773,2.0
774,2.0
775,1.0
776,2.0
777,2.0
778,2.0
779,2.0
780,2.0
781,2.0
782,3.0
783,3.0
784,3.0
785,4.0
786,4.0
787,1.0
788,2.0
789,3.0
790,3.0
791,3.0
792,3.0
793,2.0
794,3.0
795,3.5
796,2.5
797,3.0
798,3.0
799,4.0
800,4.0
801,4.0
802,4.0
803,3.0
804,4.0
805,3.0
806,3.0
807,3.0
808,3.0
809,4.0
810,4.0
811,3.0
812,4.0
813,3.0
814,3.0
815,3.0
816,3.0
817,2.0
818,1.0
819,1.0
820,1.0
821,1.0
822,2.0
823,1.0
824,1.0
825,1.0
826,2.0
827,4.0
828,2.5
829,3.0
830,2.0
831,3.5
832,4.0
833,3.0
834,2.0
835,2.0
836,3.0
837,3.0
838,2.0
839,4.0
840,2.0
841,3.5
842,3.5
843,3.0
844,2.0
845,3.0
846,2.5
869,2.0
870,
871,2.0
872,2.0
873,2.0
874,2.0
875,2.0
876,1.0
877,1.0
878,1.0
879,2.0
880,2.0
881,1.0
882,2.0
883,1.0
886,2.5
887,2.0
888,3.0
889,2.0
890,2.5
891,2.0
892,1.0
893,1.5
894,1.0
895,1.0
896,1.0
897,1.0
898,2.0
899,1.0
900,1.0
901,1.0
902,2.0
903,1.0
904,2.0
906,3.0
907,2.5
908,3.0
909,2.5
910,3.0
911,2.5
912,2.0
913,2.0
915,3.0
916,3.0
917,2.0
918,3.5
919,2.5
920,3.0
921,3.0
922,2.0
923,2.0
924,1.0
925,1.0
926,1.0
927,3.0
928,3.0
929,2.0
930,2.5
931,2.5
932,2.5
933,2.0
934,2.0
935,1.0
936,1.0
937,2.0
938,1.5
939,2.0
940,1.5
941,2.0
942,1.5
943,2.0
945,2.0
946,2.0
947,4.0
948,2.0
949,4.0
950,2.5
951,2.0
952,3.0
953,2.0
954,2.0
955,4.0
956,2.0
957,1.0
958,1.0
959,1.5
960,1.0
961,1.0
962,2.0
963,1.0
964,1.0
965,1.0
966,1.0
967,1.0
968,1.0
969,1.0
970,1.5
971,1.0
972,1.0
973,1.0
974,1.0
985,1.0
986,1.0
987,2.0
988,1.5
989,2.0
990,2.0
991,2.0
993,
994,
995,
996,
997,
998,
999,
1000,
1001,
1002,
1003,
1004,
1005,
1007,2.0
1008,1.0
1009,1.0
1010,1.0
1011,1.0
1012,1.0
1013,2.0
1014,1.0
1015,1.0
1016,2.0
1017,1.5
1018,1.0
1019,1.0
1020,2.0
1021,1.0
1022,1.0
1023,1.0
1024,1.5
1025,2.0
1026,1.0
1027,1.0
1030,
1031,
1032,
1033,
1034,
1035,
1036,
1037,
1038,
1039,
1040,
1041,
1042,
1043,
1044,
1045,
1046,
1047,
1048,
1049,
1051,1.0
1052,1.0
1053,1.0
1054,1.0
1055,1.0
1056,1.0
1057,1.0
1058,1.0
1059,1.0
1060,1.0
1061,1.0
1062,2.0
1063,1.0
1064,2.0
1065,2.0
1066,2.0
1067,1.0
1068,1.0
1069,1.0
1072,
1073,
1074,
1075,
1076,
1077,
1078,
1079,
1080,
1081,
1082,
1083,
