,F#3,G#3,A3,A#3,B3,C#4,C##4,D#4,E4,F#4,G#4,A4,A#4,B4,C#5,D#5,E5,F#5,G#5,A5,A#5,B5,C#6
194,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.875,2.125,3.625,1.375,0.0,6.75,4.875,1.125,3.625,2.875,0.125,0,0,0.0,0
195,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.25,2.0,0.0,0.0,4.125,6.5,2.5,3.875,2.375,1.125,0,0,0.125,0
196,0.0,0.0,0.0,0,0.0,1.0,0,0.875,1.75,1.4375,2.3125,0.375,0.0,5.625,4.625,1.625,2.25,2.375,0.125,0,0,0.0,0
197,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0,2.625,1.625,1.25,4.125,2.25,0.0,0,0,0.0,0
198,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.5,4.125,1.375,0.0,7.125,4.625,1.0,2.5,0.0,0.0,0,0,0.0,0
199,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.25,0.25,0.0,2.25,2.375,0.125,2.75,0.5,0.0,0,0,0.0,0
200,0.0,0.0,0.0,0,0.0,0.0,0,0.25,0.25,2.125,2.75,0.5625,0.0,1.75,1.5625,0.0,0.75,0.0,0.0,0,0,0.0,0
201,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.25,2.875,0.25,0.0,2.125,1.0,0.0,1.75,0.0,0.0,0,0,0.0,0
202,0.0,0.0,0.0,0,0.0,0.0,0,0.25,0.25,1.625,3.25,0.125,0.0,3.375,1.375,0.0,0.0,0.0,0.0,0,0,0.0,0
203,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.25,1.875,0.375,0.0,1.875,1.125,0.0,2.0,0.0,0.0,0,0,0.0,0
204,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.25,3.375,3.375,1.25,0.0,2.5,1.75,0.0,0.0,0.0,0.0,0,0,0.0,0
205,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.25,2.375,0.625,0.0,2.25,0.75,0.0,1.5,0.0,0.0,0,0,0.0,0
206,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.25,0.0,0.0,2.25,0.75,0.0,0.75,0.0,0.0,0,0,0.0,0
207,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0,2.0,2.5,0.0,2.0,0.0,0.0,0,0,0.0,0
208,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.5,1.25,0.5,0.0,1.0,1.75,0.0,0.0,0.0,0.0,0,0,0.0,0
209,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.25,0.0,0.0,1.0,1.25,0.0,0.5,0.0,0.0,0,0,0.0,0
210,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.5,0.5,0.5,0.5,0.0,0,0,0.0,0
211,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0,1.5,1.0,0.0,3.5,0.75,0.25,0,0,0.0,0
212,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.5,0.0,0.0,2.5,1.25,0.0,0.75,0.0,0.0,0,0,0.0,0
213,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.25,0.0,0.0,2.0,2.25,0.0,0.5,0.0,0.0,0,0,0.0,0
214,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.75,0.75,0.5,0.0,1.75,1.25,0.0,3.25,1.0,0.25,0,0,0.0,0
215,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2.75,0.0,0.0,2.5,1.25,0.0,1.5,0.0,0.0,0,0,0.0,0
216,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.5,0.0,0.5,3.25,1.5,0.0,2.0,0.25,0.0,0,0,0.0,0
217,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0,1.5,1.0,0.0,3.25,1.0,0.25,0,0,0.0,0
218,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.25,0.0,0.0,2.25,1.5,0.0,0.5,0.0,0.0,0,0,0.0,0
219,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.75,0.0,0.0,1.0,1.25,0.0,1.0,0.0,0.0,0,0,0.0,0
220,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.5,1.75,1.0,0.0,1.5,0.75,0.0,0.0,0.0,0.0,0,0,0.0,0
221,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0,2.0,1.0,0.0,1.5,0.0,0.0,0,0,0.0,0
222,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0,2.0,1.5,0.0,0.5,0.0,0.0,0,0,0.0,0
223,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0,2.0,1.0,0.0,1.5,0.0,0.0,0,0,0.0,0
224,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0,1.5,1.5,0.0,0.5,0.0,0.0,0,0,0.0,0
225,0.0,0.0,0.0,0,0.0,0.75,0,0.0,0.5,3.5,2.75,1.0,0.0,3.75,3.5,0.75,2.5,0.5,0.0,0,0,0.0,0
226,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.5,3.0,0.5,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0,0,0.0,0
